Method:,Hadamard 1,,
Host Date-Time:,23/8/18 @ 17:4:27,,
Header Version:,1,,
System Temp (C):,31.4,,
Detector Temp (C):,25.83,,
Humidity (%):,13.87,,
Lamp PD:,3778,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.664592,33639.000000,7282.000000
905.521072,0.684859,38213.000000,7895.000000
909.408318,0.701408,42332.000000,8419.000000
913.291349,0.715323,46950.000000,9043.000000
917.170165,0.722048,51785.000000,9821.000000
921.044767,0.729782,58287.000000,10859.000000
924.915155,0.736740,66979.000000,12280.000000
930.069116,0.767905,82100.000000,14010.000000
933.929670,0.792804,94317.000000,15198.000000
937.786010,0.822406,106099.000000,15970.000000
941.638135,0.845280,116718.000000,16667.000000
945.486046,0.874204,125961.000000,16828.000000
949.329742,0.900277,134812.000000,16961.000000
953.169224,0.929546,143641.000000,16894.000000
957.004491,0.954143,152380.000000,16935.000000
960.835544,0.974252,161986.000000,17188.000000
965.937059,0.994429,175129.000000,17739.000000
969.758279,1.006148,185335.000000,18273.000000
973.575284,1.012394,195809.000000,19030.000000
977.388074,1.022571,206740.000000,19627.000000
981.196650,1.029473,217308.000000,20305.000000
985.001012,1.031218,228047.000000,21223.000000
988.801159,1.031606,238038.000000,22133.000000
992.597092,1.027353,247444.000000,23234.000000
996.388810,1.026869,256381.000000,24100.000000
1000.176314,1.023404,264317.000000,25045.000000
1005.219764,1.014067,273187.000000,26448.000000
1008.997434,1.009248,278661.000000,27279.000000
1012.770890,0.999124,283378.000000,28395.000000
1016.540131,0.993203,286796.000000,29132.000000
1020.305158,0.985609,289545.000000,29930.000000
1024.065971,0.979831,290768.000000,30459.000000
1027.822569,0.974257,291659.000000,30947.000000
1031.574953,0.965430,291738.000000,31591.000000
1035.323122,0.959745,291180.000000,31946.000000
1040.314125,0.952633,289060.000000,32237.000000
1044.052461,0.945726,287270.000000,32551.000000
1047.786582,0.939248,285260.000000,32809.000000
1051.516489,0.930344,282938.000000,33216.000000
1055.242181,0.923376,280933.000000,33514.000000
1058.963659,0.916281,278805.000000,33808.000000
1062.680922,0.908560,276533.000000,34134.000000
1066.393971,0.902561,275025.000000,34420.000000
1070.102806,0.895353,273940.000000,34858.000000
1075.041363,0.888518,272610.000000,35239.000000
1078.740364,0.881927,271864.000000,35680.000000
1082.435151,0.876447,271322.000000,36061.000000
1086.125723,0.872555,271668.000000,36432.000000
1089.812080,0.868668,272144.000000,36824.000000
1093.494224,0.865975,273135.000000,37188.000000
1097.172153,0.861018,273441.000000,37657.000000
1100.845867,0.860049,274759.000000,37923.000000
1104.515367,0.859179,276154.000000,38192.000000
1109.401478,0.858510,278191.000000,38533.000000
1113.061144,0.860627,279666.000000,38549.000000
1116.716596,0.862848,281465.000000,38599.000000
1120.367833,0.867690,283330.000000,38424.000000
1124.014856,0.875814,285720.000000,38030.000000
1127.657665,0.887157,287805.000000,37320.000000
1131.296259,0.897536,290051.000000,36723.000000
1134.930639,0.909886,292331.000000,35974.000000
1138.560804,0.921298,294917.000000,35351.000000
1143.394469,0.936560,298293.000000,34521.000000
1147.014801,0.944925,300985.000000,34168.000000
1150.630918,0.951685,304257.000000,34006.000000
1154.242821,0.959755,307712.000000,33759.000000
1157.850509,0.963626,310881.000000,33804.000000
1161.453983,0.967804,314276.000000,33846.000000
1165.053242,0.971069,318257.000000,34018.000000
1168.648287,0.973399,322819.000000,34321.000000
1172.239118,0.976328,326850.000000,34516.000000
1177.020337,0.978705,332795.000000,34952.000000
1180.601334,0.978804,338252.000000,35517.000000
1184.178116,0.980815,344529.000000,36009.000000
1187.750684,0.984425,351023.000000,36384.000000
1191.319038,0.990428,357082.000000,36504.000000
1194.883177,0.994571,364643.000000,36923.000000
1198.443102,1.000228,372656.000000,37246.000000
1201.998812,1.005436,379916.000000,37519.000000
1205.550308,1.009234,387104.000000,37896.000000
1210.279081,1.014328,398358.000000,38543.000000
1213.820743,1.018327,406330.000000,38954.000000
1217.358191,1.017559,414296.000000,39788.000000
1220.891424,1.016507,423100.000000,40732.000000
1224.420443,1.017116,431276.000000,41461.000000
1227.945248,1.017946,440314.000000,42249.000000
1231.465838,1.017154,449218.000000,43182.000000
1234.982214,1.017111,457807.000000,44012.000000
1238.494375,1.018662,468067.000000,44838.000000
1243.170701,1.019455,479193.000000,45820.000000
1246.673029,1.020159,486758.000000,46468.000000
1250.171142,1.021042,495180.000000,47176.000000
1253.665041,1.020838,503918.000000,48031.000000
1257.154726,1.017824,511654.000000,49108.000000
1260.640196,1.016314,521154.000000,50194.000000
1264.121451,1.014055,534098.000000,51709.000000
1267.598492,1.015113,549524.000000,53073.000000
1271.071319,1.016242,564969.000000,54423.000000
1275.695199,1.018006,583497.000000,55980.000000
1279.158192,1.020436,596509.000000,56909.000000
1282.616970,1.021820,610137.000000,58024.000000
1286.071534,1.024760,621777.000000,58732.000000
1289.521884,1.027388,632911.000000,59423.000000
1292.968020,1.031501,643299.000000,59829.000000
1296.409940,1.036904,653998.000000,60072.000000
1299.847647,1.041093,662535.000000,60272.000000
1303.281139,1.046061,669534.000000,60216.000000
1307.852572,1.052985,680622.000000,60245.000000
1311.276231,1.058499,687613.000000,60096.000000
1314.695675,1.062418,692993.000000,60022.000000
1318.110904,1.066701,697587.000000,59827.000000
1321.521919,1.073125,703545.000000,59452.000000
1324.928720,1.078444,707997.000000,59100.000000
1328.331306,1.082216,710077.000000,58761.000000
1331.729678,1.087104,712333.000000,58288.000000
1335.123835,1.090158,715576.000000,58143.000000
1339.642823,1.094386,717691.000000,57750.000000
1343.027147,1.095928,716977.000000,57488.000000
1346.407256,1.098262,716577.000000,57148.000000
1349.783151,1.099293,716270.000000,56988.000000
1353.154831,1.099087,715315.000000,56939.000000
1356.522297,1.099430,713176.000000,56724.000000
1359.885549,1.099542,710971.000000,56534.000000
1363.244586,1.100167,708733.000000,56275.000000
1366.599408,1.100170,706319.000000,56083.000000
1371.065950,1.102361,701665.000000,55433.000000
1374.410939,1.102076,697460.000000,55137.000000
1377.751713,1.103103,691985.000000,54575.000000
1381.088274,1.103843,686523.000000,54052.000000
1384.420619,1.102948,680381.000000,53679.000000
1387.748751,1.102821,675468.000000,53307.000000
1391.072668,1.102405,671911.000000,53077.000000
1394.392370,1.101093,668723.000000,52985.000000
1397.707858,1.101673,666533.000000,52741.000000
1402.121953,1.100031,665113.000000,52828.000000
1405.427607,1.100638,665198.000000,52761.000000
1408.729047,1.101364,664935.000000,52652.000000
1412.026273,1.100103,664455.000000,52767.000000
1415.319284,1.100737,664556.000000,52698.000000
1418.608081,1.099985,664917.000000,52818.000000
1421.892663,1.100668,665017.000000,52743.000000
1425.173031,1.099502,664617.000000,52853.000000
1428.449184,1.099206,665359.000000,52948.000000
1431.721123,1.100369,666424.000000,52891.000000
1436.077153,1.099279,667155.000000,53082.000000
1439.339258,1.100591,668127.000000,52999.000000
1442.597149,1.100921,668698.000000,53004.000000
1445.850825,1.101092,669264.000000,53028.000000
1449.100287,1.102509,669273.000000,52856.000000
1452.345535,1.101749,669026.000000,52929.000000
1455.586568,1.104242,668707.000000,52601.000000
