Method:,Hadamard 1,,
Host Date-Time:,23/8/18 @ 17:26:6,,
Header Version:,1,,
System Temp (C):,35.19,,
Detector Temp (C):,31.37,,
Humidity (%):,9.52,,
Lamp PD:,3773,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.663877,33639.000000,7294.000000
905.521072,0.688228,38213.000000,7834.000000
909.408318,0.695618,42332.000000,8532.000000
913.291349,0.713885,46950.000000,9073.000000
917.170165,0.724398,51785.000000,9768.000000
921.044767,0.732148,58287.000000,10800.000000
924.915155,0.743764,66979.000000,12083.000000
930.069116,0.770610,82100.000000,13923.000000
933.929670,0.796304,94317.000000,15076.000000
937.786010,0.820101,106099.000000,16055.000000
941.638135,0.847815,116718.000000,16570.000000
945.486046,0.873301,125961.000000,16863.000000
949.329742,0.903490,134812.000000,16836.000000
953.169224,0.930962,143641.000000,16839.000000
957.004491,0.954707,152380.000000,16913.000000
960.835544,0.971758,161986.000000,17287.000000
965.937059,0.990044,175129.000000,17919.000000
969.758279,1.005340,185335.000000,18307.000000
973.575284,1.012052,195809.000000,19045.000000
977.388074,1.020165,206740.000000,19736.000000
981.196650,1.019765,217308.000000,20764.000000
985.001012,1.026698,228047.000000,21445.000000
988.801159,1.026592,238038.000000,22390.000000
992.597092,1.022760,247444.000000,23481.000000
996.388810,1.018551,256381.000000,24566.000000
1000.176314,1.015313,264317.000000,25516.000000
1005.219764,1.006159,273187.000000,26934.000000
1008.997434,1.000423,278661.000000,27839.000000
1012.770890,0.992702,283378.000000,28818.000000
1016.540131,0.985109,286796.000000,29680.000000
1020.305158,0.977844,289545.000000,30470.000000
1024.065971,0.971443,290768.000000,31053.000000
1027.822569,0.966220,291659.000000,31525.000000
1031.574953,0.957043,291738.000000,32207.000000
1035.323122,0.951330,291180.000000,32571.000000
1040.314125,0.941856,289060.000000,33047.000000
1044.052461,0.937218,287270.000000,33195.000000
1047.786582,0.928927,285260.000000,33598.000000
1051.516489,0.921709,282938.000000,33883.000000
1055.242181,0.915581,280933.000000,34121.000000
1058.963659,0.907431,278805.000000,34504.000000
1062.680922,0.899906,276533.000000,34821.000000
1066.393971,0.893089,275025.000000,35179.000000
1070.102806,0.886840,273940.000000,35548.000000
1075.041363,0.879952,272610.000000,35941.000000
1078.740364,0.874361,271864.000000,36307.000000
1082.435151,0.869992,271322.000000,36601.000000
1086.125723,0.866107,271668.000000,36977.000000
1089.812080,0.861974,272144.000000,37396.000000
1093.494224,0.859552,273135.000000,37742.000000
1097.172153,0.854675,273441.000000,38211.000000
1100.845867,0.854078,274759.000000,38448.000000
1104.515367,0.853586,276154.000000,38687.000000
1109.401478,0.853145,278191.000000,39012.000000
1113.061144,0.854952,279666.000000,39056.000000
1116.716596,0.857225,281465.000000,39102.000000
1120.367833,0.862846,283330.000000,38855.000000
1124.014856,0.871971,285720.000000,38368.000000
1127.657665,0.882032,287805.000000,37763.000000
1131.296259,0.896013,290051.000000,36852.000000
1134.930639,0.907622,292331.000000,36162.000000
1138.560804,0.919264,294917.000000,35517.000000
1143.394469,0.933738,298293.000000,34746.000000
1147.014801,0.942062,300985.000000,34394.000000
1150.630918,0.950041,304257.000000,34135.000000
1154.242821,0.954372,307712.000000,34180.000000
1157.850509,0.960566,310881.000000,34043.000000
1161.453983,0.964965,314276.000000,34068.000000
1165.053242,0.967104,318257.000000,34330.000000
1168.648287,0.969431,322819.000000,34636.000000
1172.239118,0.971847,326850.000000,34874.000000
1177.020337,0.974377,332795.000000,35302.000000
1180.601334,0.975515,338252.000000,35787.000000
1184.178116,0.976925,344529.000000,36333.000000
1187.750684,0.981214,351023.000000,36654.000000
1191.319038,0.985836,357082.000000,36892.000000
1194.883177,0.991232,364643.000000,37208.000000
1198.443102,0.997138,372656.000000,37512.000000
1201.998812,1.000167,379916.000000,37977.000000
1205.550308,1.006083,387104.000000,38172.000000
1210.279081,1.011173,398358.000000,38824.000000
1213.820743,1.015360,406330.000000,39221.000000
1217.358191,1.014882,414296.000000,40034.000000
1220.891424,1.013077,423100.000000,41055.000000
1224.420443,1.012925,431276.000000,41863.000000
1227.945248,1.014363,440314.000000,42599.000000
1231.465838,1.013529,449218.000000,43544.000000
1234.982214,1.012449,457807.000000,44487.000000
1238.494375,1.014277,468067.000000,45293.000000
1243.170701,1.014873,479193.000000,46306.000000
1246.673029,1.016511,486758.000000,46860.000000
1250.171142,1.017266,495180.000000,47588.000000
1253.665041,1.017443,503918.000000,48408.000000
1257.154726,1.014538,511654.000000,49481.000000
1260.640196,1.012515,521154.000000,50635.000000
1264.121451,1.011117,534098.000000,52060.000000
1267.598492,1.011316,549524.000000,53539.000000
1271.071319,1.012800,564969.000000,54856.000000
1275.695199,1.014313,583497.000000,56458.000000
1279.158192,1.016493,596509.000000,57428.000000
1282.616970,1.018531,610137.000000,58465.000000
1286.071534,1.022400,621777.000000,59052.000000
1289.521884,1.024678,632911.000000,59795.000000
1292.968020,1.028398,643299.000000,60258.000000
1296.409940,1.033986,653998.000000,60477.000000
1299.847647,1.039188,662535.000000,60537.000000
1303.281139,1.043694,669534.000000,60545.000000
1307.852572,1.050390,680622.000000,60606.000000
1311.276231,1.056235,687613.000000,60410.000000
1314.695675,1.060620,692993.000000,60271.000000
1318.110904,1.064782,697587.000000,60092.000000
1321.521919,1.070918,703545.000000,59755.000000
1324.928720,1.074938,707997.000000,59579.000000
1328.331306,1.079241,710077.000000,59165.000000
1331.729678,1.082988,712333.000000,58843.000000
1335.123835,1.086729,715576.000000,58604.000000
1339.642823,1.091328,717691.000000,58158.000000
1343.027147,1.091703,716977.000000,58050.000000
1346.407256,1.093252,716577.000000,57811.000000
1349.783151,1.094798,716270.000000,57581.000000
1353.154831,1.094128,715315.000000,57593.000000
1356.522297,1.095088,713176.000000,57294.000000
1359.885549,1.094950,710971.000000,57135.000000
1363.244586,1.095859,708733.000000,56836.000000
1366.599408,1.096691,706319.000000,56534.000000
1371.065950,1.097934,701665.000000,56001.000000
1374.410939,1.097968,697460.000000,55661.000000
1377.751713,1.097961,691985.000000,55225.000000
1381.088274,1.098970,686523.000000,54662.000000
1384.420619,1.097696,680381.000000,54332.000000
1387.748751,1.098903,675468.000000,53790.000000
1391.072668,1.098358,671911.000000,53574.000000
1394.392370,1.096884,668723.000000,53501.000000
1397.707858,1.096305,666533.000000,53397.000000
1402.121953,1.095452,665113.000000,53388.000000
1405.427607,1.095239,665198.000000,53421.000000
1408.729047,1.095222,664935.000000,53402.000000
1412.026273,1.095551,664455.000000,53323.000000
1415.319284,1.096538,664556.000000,53210.000000
1418.608081,1.095584,664917.000000,53356.000000
1421.892663,1.095641,665017.000000,53357.000000
1425.173031,1.093934,664617.000000,53535.000000
1428.449184,1.094678,665359.000000,53503.000000
1431.721123,1.095121,666424.000000,53534.000000
1436.077153,1.094374,667155.000000,53685.000000
1439.339258,1.095273,668127.000000,53652.000000
1442.597149,1.097006,668698.000000,53484.000000
1445.850825,1.096530,669264.000000,53588.000000
1449.100287,1.097396,669273.000000,53482.000000
1452.345535,1.097910,669026.000000,53399.000000
1455.586568,1.099316,668707.000000,53201.000000
1458.823387,1.100274,668068.000000,53033.000000
1462.055991,1.099489,666684.000000,53019.000000
1466.359575,1.101293,665382.000000,52696.000000
1469.582345,1.100189,664120.000000,52730.000000
1472.800901,1.100814,662276.000000,52508.000000
1476.015243,1.100939,660385.000000,52343.000000
1479.225371,1.101018,658310.000000,52169.000000
1482.431284,1.102002,656313.000000,51893.000000
1485.632982,1.102009,654173.000000,51723.000000
