Method:,Hadamard 1,,
Host Date-Time:,27/8/18 @ 11:46:14,,
Header Version:,1,,
System Temp (C):,30.74,,
Detector Temp (C):,25.48,,
Humidity (%):,13.95,,
Lamp PD:,3778,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.697539,33639.000000,6750.000000
905.521072,0.718769,38213.000000,7302.000000
909.408318,0.727670,42332.000000,7925.000000
913.291349,0.748184,46950.000000,8384.000000
917.170165,0.751929,51785.000000,9168.000000
921.044767,0.759191,58287.000000,10148.000000
924.915155,0.765241,66979.000000,11500.000000
930.069116,0.790492,82100.000000,13300.000000
933.929670,0.817436,94317.000000,14360.000000
937.786010,0.845585,106099.000000,15140.000000
941.638135,0.871543,116718.000000,15689.000000
945.486046,0.900975,125961.000000,15822.000000
949.329742,0.925391,134812.000000,16008.000000
953.169224,0.954518,143641.000000,15950.000000
957.004491,0.975105,152380.000000,16137.000000
960.835544,0.995111,161986.000000,16382.000000
965.937059,1.017016,175129.000000,16840.000000
969.758279,1.027583,185335.000000,17393.000000
973.575284,1.035019,195809.000000,18064.000000
977.388074,1.043281,206740.000000,18713.000000
981.196650,1.045818,217308.000000,19555.000000
985.001012,1.049631,228047.000000,20342.000000
988.801159,1.049042,238038.000000,21262.000000
992.597092,1.045854,247444.000000,22265.000000
996.388810,1.043510,256381.000000,23194.000000
1000.176314,1.038795,264317.000000,24173.000000
1005.219764,1.029511,273187.000000,25524.000000
1008.997434,1.021847,278661.000000,26499.000000
1012.770890,1.015774,283378.000000,27327.000000
1016.540131,1.006878,286796.000000,28229.000000
1020.305158,0.998376,289545.000000,29063.000000
1024.065971,0.993416,290768.000000,29521.000000
1027.822569,0.986612,291659.000000,30079.000000
1031.574953,0.978208,291738.000000,30675.000000
1035.323122,0.971820,291180.000000,31070.000000
1040.314125,0.964640,289060.000000,31358.000000
1044.052461,0.956396,287270.000000,31761.000000
1047.786582,0.950988,285260.000000,31934.000000
1051.516489,0.944024,282938.000000,32186.000000
1055.242181,0.935932,280933.000000,32559.000000
1058.963659,0.929122,278805.000000,32823.000000
1062.680922,0.920661,276533.000000,33196.000000
1066.393971,0.913770,275025.000000,33543.000000
1070.102806,0.907686,273940.000000,33882.000000
1075.041363,0.899046,272610.000000,34395.000000
1078.740364,0.894724,271864.000000,34644.000000
1082.435151,0.889976,271322.000000,34955.000000
1086.125723,0.885121,271668.000000,35393.000000
1089.812080,0.881377,272144.000000,35762.000000
1093.494224,0.877549,273135.000000,36210.000000
1097.172153,0.875762,273441.000000,36400.000000
1100.845867,0.873187,274759.000000,36793.000000
1104.515367,0.873948,276154.000000,36915.000000
1109.401478,0.871727,278191.000000,37378.000000
1113.061144,0.874128,279666.000000,37369.000000
1116.716596,0.877646,281465.000000,37306.000000
1120.367833,0.881318,283330.000000,37237.000000
1124.014856,0.891038,285720.000000,36720.000000
1127.657665,0.902386,287805.000000,36034.000000
1131.296259,0.915130,290051.000000,35265.000000
1134.930639,0.927226,292331.000000,34566.000000
1138.560804,0.938515,294917.000000,33977.000000
1143.394469,0.956182,298293.000000,32996.000000
1147.014801,0.964768,300985.000000,32642.000000
1150.630918,0.974347,304257.000000,32277.000000
1154.242821,0.980248,307712.000000,32203.000000
1157.850509,0.986509,310881.000000,32069.000000
1161.453983,0.990238,314276.000000,32142.000000
1165.053242,0.992676,318257.000000,32367.000000
1168.648287,0.995315,322819.000000,32632.000000
1172.239118,0.997364,326850.000000,32884.000000
1177.020337,1.001955,332795.000000,33130.000000
1180.601334,1.001121,338252.000000,33738.000000
1184.178116,1.004650,344529.000000,34086.000000
1187.750684,1.006963,351023.000000,34544.000000
1191.319038,1.011751,357082.000000,34755.000000
1194.883177,1.017663,364643.000000,35011.000000
1198.443102,1.022231,372656.000000,35406.000000
1201.998812,1.027372,379916.000000,35671.000000
1205.550308,1.031827,387104.000000,35975.000000
1210.279081,1.037790,398358.000000,36516.000000
1213.820743,1.040009,406330.000000,37057.000000
1217.358191,1.039406,414296.000000,37836.000000
1220.891424,1.039147,423100.000000,38663.000000
1224.420443,1.038598,431276.000000,39460.000000
1227.945248,1.038501,440314.000000,40296.000000
1231.465838,1.038922,449218.000000,41071.000000
1234.982214,1.037630,457807.000000,41981.000000
1238.494375,1.038296,468067.000000,42856.000000
1243.170701,1.040079,479193.000000,43695.000000
1246.673029,1.041027,486758.000000,44288.000000
1250.171142,1.040904,495180.000000,45067.000000
1253.665041,1.042092,503918.000000,45737.000000
1257.154726,1.037757,511654.000000,46905.000000
1260.640196,1.035824,521154.000000,47989.000000
1264.121451,1.034510,534098.000000,49330.000000
1267.598492,1.035922,549524.000000,50590.000000
1271.071319,1.035929,564969.000000,52011.000000
1275.695199,1.037287,583497.000000,53549.000000
1279.158192,1.040106,596509.000000,54389.000000
1282.616970,1.042475,610137.000000,55329.000000
1286.071534,1.044115,621777.000000,56172.000000
1289.521884,1.048449,632911.000000,56610.000000
1292.968020,1.051716,643299.000000,57108.000000
1296.409940,1.056914,653998.000000,57367.000000
1299.847647,1.062017,662535.000000,57437.000000
1303.281139,1.067459,669534.000000,57321.000000
1307.852572,1.075123,680622.000000,57251.000000
1311.276231,1.080746,687613.000000,57095.000000
1314.695675,1.084877,692993.000000,56997.000000
1318.110904,1.089617,697587.000000,56752.000000
1321.521919,1.095766,703545.000000,56432.000000
1324.928720,1.100666,707997.000000,56152.000000
1328.331306,1.104835,710077.000000,55779.000000
1331.729678,1.109762,712333.000000,55325.000000
1335.123835,1.113883,715576.000000,55052.000000
1339.642823,1.118808,717691.000000,54592.000000
1343.027147,1.120090,716977.000000,54377.000000
1346.407256,1.121624,716577.000000,54155.000000
1349.783151,1.122771,716270.000000,53989.000000
1353.154831,1.122997,715315.000000,53889.000000
1356.522297,1.124681,713176.000000,53520.000000
1359.885549,1.123807,710971.000000,53462.000000
1363.244586,1.126338,708733.000000,52984.000000
1366.599408,1.125455,706319.000000,52911.000000
1371.065950,1.127089,701665.000000,52365.000000
1374.410939,1.126640,697460.000000,52105.000000
1377.751713,1.127910,691985.000000,51545.000000
1381.088274,1.127708,686523.000000,51162.000000
1384.420619,1.127719,680381.000000,50703.000000
1387.748751,1.128166,675468.000000,50285.000000
1391.072668,1.127483,671911.000000,50099.000000
1394.392370,1.126103,668723.000000,50020.000000
1397.707858,1.125573,666533.000000,49917.000000
1402.121953,1.124934,665113.000000,49884.000000
1405.427607,1.125704,665198.000000,49802.000000
1408.729047,1.124766,664935.000000,49890.000000
1412.026273,1.126031,664455.000000,49709.000000
1415.319284,1.124893,664556.000000,49847.000000
1418.608081,1.125660,664917.000000,49786.000000
1421.892663,1.125263,665017.000000,49839.000000
1425.173031,1.124323,664617.000000,49917.000000
1428.449184,1.124607,665359.000000,49940.000000
1431.721123,1.126268,666424.000000,49829.000000
1436.077153,1.125952,667155.000000,49920.000000
1439.339258,1.125125,668127.000000,50088.000000
1442.597149,1.126564,668698.000000,49965.000000
1445.850825,1.127262,669264.000000,49927.000000
1449.100287,1.126703,669273.000000,49992.000000
1452.345535,1.127586,669026.000000,49872.000000
1455.586568,1.129947,668707.000000,49578.000000
1458.823387,1.130698,668068.000000,49445.000000
1462.055991,1.130193,666684.000000,49400.000000
1466.359575,1.130488,665382.000000,49270.000000
1469.582345,1.130697,664120.000000,49153.000000
1472.800901,1.130586,662276.000000,49029.000000
1476.015243,1.130888,660385.000000,48855.000000
1479.225371,1.132027,658310.000000,48574.000000
1482.431284,1.132131,656313.000000,48415.000000
1485.632982,1.132817,654173.000000,48181.000000
1488.830466,1.132321,651677.000000,48052.000000
1492.023736,1.133319,649126.000000,47754.000000
1496.274873,1.133431,646247.000000,47530.000000
1499.458309,1.132842,643294.000000,47377.000000
1502.637531,1.131684,640417.000000,47291.000000
1505.812538,1.133192,637303.000000,46898.000000
1508.983330,1.134164,634074.000000,46556.000000
1512.149909,1.133230,630551.000000,46397.000000
1515.312273,1.132917,626579.000000,46138.000000
1518.470422,1.133493,623236.000000,45831.000000
1521.624357,1.134117,619556.000000,45495.000000
1525.823048,1.133955,614520.000000,45142.000000
1528.967149,1.133459,610731.000000,44915.000000
1532.107036,1.133139,606260.000000,44619.000000
1535.242709,1.133175,601771.000000,44285.000000
1538.374167,1.133673,597293.000000,43905.000000
1541.501410,1.133067,592533.000000,43616.000000
1544.624439,1.132013,587614.000000,43359.000000
1547.743254,1.131733,582008.000000,42973.000000
1550.857855,1.131815,576631.000000,42568.000000
1555.004099,1.132021,569180.000000,41998.000000
1558.108866,1.131669,563682.000000,41626.000000
1561.209418,1.130164,557265.000000,41295.000000
1564.305756,1.130884,551187.000000,40777.000000
1567.397879,1.128915,545545.000000,40543.000000
1570.485788,1.128920,539133.000000,40066.000000
1573.569483,1.129621,532551.000000,39513.000000
1576.648963,1.130179,525907.000000,38970.000000
1579.724229,1.128663,518938.000000,38588.000000
1583.818027,1.129843,509333.000000,37771.000000
1586.883459,1.128275,502458.000000,37396.000000
1589.944677,1.128927,494992.000000,36785.000000
1593.001680,1.127805,487232.000000,36302.000000
1596.054469,1.128372,480020.000000,35718.000000
1599.103043,1.128913,472168.000000,35090.000000
1602.147403,1.131030,464280.000000,34336.000000
1605.187548,1.129847,456706.000000,33868.000000
1608.223479,1.129595,448530.000000,33281.000000
1612.264832,1.130650,437205.000000,32362.000000
1615.290929,1.132483,429490.000000,31657.000000
1618.312812,1.134099,421504.000000,30953.000000
1621.330481,1.134188,413173.000000,30335.000000
1624.343935,1.136683,404553.000000,29532.000000
1627.353174,1.138510,396423.000000,28817.000000
1630.358200,1.143615,388513.000000,27912.000000
1633.359010,1.145797,380160.000000,27175.000000
1636.355607,1.151706,371598.000000,26204.000000
1640.344513,1.153466,360463.000000,25316.000000
1643.331275,1.159452,352069.000000,24388.000000
1646.313824,1.161526,343006.000000,23647.000000
1649.292158,1.165302,333872.000000,22818.000000
1652.266277,1.172047,324504.000000,21836.000000
1655.236182,1.179566,314053.000000,20770.000000
