Method:,Hadamard 1,,
Host Date-Time:,27/8/18 @ 11:41:47,,
Header Version:,1,,
System Temp (C):,28.01,,
Detector Temp (C):,22.61,,
Humidity (%):,17.68,,
Lamp PD:,3782,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.684858,33639.000000,6950.000000
905.521072,0.712393,38213.000000,7410.000000
909.408318,0.723307,42332.000000,8005.000000
913.291349,0.729131,46950.000000,8760.000000
917.170165,0.737212,51785.000000,9484.000000
921.044767,0.743226,58287.000000,10528.000000
924.915155,0.745348,66979.000000,12039.000000
930.069116,0.778352,82100.000000,13677.000000
933.929670,0.805769,94317.000000,14751.000000
937.786010,0.836839,106099.000000,15448.000000
941.638135,0.864949,116718.000000,15929.000000
945.486046,0.891822,125961.000000,16159.000000
949.329742,0.921072,134812.000000,16168.000000
953.169224,0.950506,143641.000000,16098.000000
957.004491,0.972128,152380.000000,16248.000000
960.835544,0.993496,161986.000000,16443.000000
965.937059,1.013420,175129.000000,16980.000000
969.758279,1.021656,185335.000000,17632.000000
973.575284,1.027676,195809.000000,18372.000000
977.388074,1.034960,206740.000000,19075.000000
981.196650,1.038725,217308.000000,19877.000000
985.001012,1.039377,228047.000000,20828.000000
988.801159,1.039906,238038.000000,21714.000000
992.597092,1.035980,247444.000000,22777.000000
996.388810,1.035055,256381.000000,23650.000000
1000.176314,1.028304,264317.000000,24764.000000
1005.219764,1.018457,273187.000000,26182.000000
1008.997434,1.013568,278661.000000,27009.000000
1012.770890,1.005146,283378.000000,28004.000000
1016.540131,0.994846,286796.000000,29022.000000
1020.305158,0.989150,289545.000000,29687.000000
1024.065971,0.981588,290768.000000,30336.000000
1027.822569,0.976268,291659.000000,30804.000000
1031.574953,0.966186,291738.000000,31536.000000
1035.323122,0.961325,291180.000000,31830.000000
1040.314125,0.953024,289060.000000,32208.000000
1044.052461,0.945326,287270.000000,32581.000000
1047.786582,0.939990,285260.000000,32753.000000
1051.516489,0.930736,282938.000000,33186.000000
1055.242181,0.923597,280933.000000,33497.000000
1058.963659,0.915652,278805.000000,33857.000000
1062.680922,0.909426,276533.000000,34066.000000
1066.393971,0.902196,275025.000000,34449.000000
1070.102806,0.895839,273940.000000,34819.000000
1075.041363,0.889184,272610.000000,35185.000000
1078.740364,0.884246,271864.000000,35490.000000
1082.435151,0.879930,271322.000000,35773.000000
1086.125723,0.876387,271668.000000,36112.000000
1089.812080,0.871377,272144.000000,36595.000000
1093.494224,0.869022,273135.000000,36928.000000
1097.172153,0.865574,273441.000000,37264.000000
1100.845867,0.865210,274759.000000,37475.000000
