Method:,Hadamard 1,,
Host Date-Time:,27/8/18 @ 11:53:49,,
Header Version:,1,,
System Temp (C):,33.26,,
Detector Temp (C):,28.33,,
Humidity (%):,10.87,,
Lamp PD:,3774,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.693824,33639.000000,6808.000000
905.521072,0.710989,38213.000000,7434.000000
909.408318,0.717166,42332.000000,8119.000000
913.291349,0.737440,46950.000000,8594.000000
917.170165,0.742001,51785.000000,9380.000000
921.044767,0.749542,58287.000000,10376.000000
924.915155,0.756086,66979.000000,11745.000000
930.069116,0.786947,82100.000000,13409.000000
933.929670,0.811160,94317.000000,14569.000000
937.786010,0.840679,106099.000000,15312.000000
941.638135,0.865468,116718.000000,15910.000000
945.486046,0.888795,125961.000000,16272.000000
949.329742,0.921287,134812.000000,16160.000000
953.169224,0.949052,143641.000000,16152.000000
957.004491,0.971754,152380.000000,16262.000000
960.835544,0.991836,161986.000000,16506.000000
965.937059,1.010413,175129.000000,17098.000000
969.758279,1.022963,185335.000000,17579.000000
973.575284,1.028339,195809.000000,18344.000000
977.388074,1.036625,206740.000000,19002.000000
981.196650,1.038179,217308.000000,19902.000000
985.001012,1.043083,228047.000000,20651.000000
988.801159,1.042655,238038.000000,21577.000000
992.597092,1.041545,247444.000000,22487.000000
996.388810,1.034669,256381.000000,23671.000000
1000.176314,1.030202,264317.000000,24656.000000
1005.219764,1.021971,273187.000000,25971.000000
1008.997434,1.015566,278661.000000,26885.000000
1012.770890,1.006933,283378.000000,27889.000000
1016.540131,0.999510,286796.000000,28712.000000
1020.305158,0.991556,289545.000000,29523.000000
1024.065971,0.983856,290768.000000,30178.000000
1027.822569,0.978558,291659.000000,30642.000000
1031.574953,0.971228,291738.000000,31172.000000
1035.323122,0.966334,291180.000000,31465.000000
1040.314125,0.956653,289060.000000,31940.000000
1044.052461,0.951298,287270.000000,32136.000000
1047.786582,0.944589,285260.000000,32408.000000
1051.516489,0.935420,282938.000000,32830.000000
1055.242181,0.927779,280933.000000,33176.000000
1058.963659,0.921437,278805.000000,33409.000000
1062.680922,0.915123,276533.000000,33622.000000
1066.393971,0.908098,275025.000000,33984.000000
1070.102806,0.902247,273940.000000,34309.000000
1075.041363,0.894150,272610.000000,34785.000000
1078.740364,0.889639,271864.000000,35052.000000
1082.435151,0.883857,271322.000000,35451.000000
1086.125723,0.881018,271668.000000,35729.000000
1089.812080,0.876642,272144.000000,36154.000000
1093.494224,0.873966,273135.000000,36510.000000
1097.172153,0.870049,273441.000000,36882.000000
1100.845867,0.868888,274759.000000,37159.000000
1104.515367,0.868919,276154.000000,37345.000000
1109.401478,0.868647,278191.000000,37644.000000
1113.061144,0.871232,279666.000000,37619.000000
1116.716596,0.873452,281465.000000,37668.000000
1120.367833,0.880142,283330.000000,37338.000000
1124.014856,0.889987,285720.000000,36809.000000
1127.657665,0.900258,287805.000000,36211.000000
1131.296259,0.912736,290051.000000,35460.000000
1134.930639,0.926811,292331.000000,34599.000000
1138.560804,0.937723,294917.000000,34039.000000
1143.394469,0.953649,298293.000000,33189.000000
1147.014801,0.964529,300985.000000,32660.000000
1150.630918,0.970783,304257.000000,32543.000000
1154.242821,0.979036,307712.000000,32293.000000
1157.850509,0.983351,310881.000000,32303.000000
1161.453983,0.988472,314276.000000,32273.000000
1165.053242,0.990521,318257.000000,32528.000000
1168.648287,0.993151,322819.000000,32795.000000
1172.239118,0.996730,326850.000000,32932.000000
1177.020337,0.997885,332795.000000,33442.000000
1180.601334,0.999682,338252.000000,33850.000000
1184.178116,1.000390,344529.000000,34422.000000
1187.750684,1.005019,351023.000000,34699.000000
1191.319038,1.009756,357082.000000,34915.000000
1194.883177,1.014364,364643.000000,35278.000000
1198.443102,1.022759,372656.000000,35363.000000
1201.998812,1.026108,379916.000000,35775.000000
1205.550308,1.028663,387104.000000,36238.000000
1210.279081,1.034756,398358.000000,36772.000000
1213.820743,1.037182,406330.000000,37299.000000
1217.358191,1.038924,414296.000000,37878.000000
1220.891424,1.036717,423100.000000,38880.000000
1224.420443,1.036173,431276.000000,39681.000000
1227.945248,1.036737,440314.000000,40460.000000
1231.465838,1.035677,449218.000000,41379.000000
1234.982214,1.035524,457807.000000,42185.000000
1238.494375,1.036295,468067.000000,43054.000000
1243.170701,1.037601,479193.000000,43945.000000
1246.673029,1.038134,486758.000000,44584.000000
1250.171142,1.039087,495180.000000,45256.000000
1253.665041,1.038414,503918.000000,46126.000000
1257.154726,1.036509,511654.000000,47040.000000
1260.640196,1.034244,521154.000000,48164.000000
1264.121451,1.032025,534098.000000,49613.000000
1267.598492,1.033260,549524.000000,50901.000000
1271.071319,1.035095,564969.000000,52111.000000
1275.695199,1.036299,583497.000000,53671.000000
1279.158192,1.037971,596509.000000,54657.000000
1282.616970,1.041361,610137.000000,55471.000000
1286.071534,1.043659,621777.000000,56231.000000
1289.521884,1.046146,632911.000000,56911.000000
1292.968020,1.050865,643299.000000,57220.000000
1296.409940,1.055856,653998.000000,57507.000000
1299.847647,1.060990,662535.000000,57573.000000
1303.281139,1.066226,669534.000000,57484.000000
1307.852572,1.073465,680622.000000,57470.000000
1311.276231,1.079068,687613.000000,57316.000000
1314.695675,1.083910,692993.000000,57124.000000
1318.110904,1.088624,697587.000000,56882.000000
1321.521919,1.094752,703545.000000,56564.000000
1324.928720,1.100187,707997.000000,56214.000000
1328.331306,1.104477,710077.000000,55825.000000
1331.729678,1.108382,712333.000000,55501.000000
1335.123835,1.112323,715576.000000,55250.000000
1339.642823,1.115891,717691.000000,54960.000000
1343.027147,1.117963,716977.000000,54644.000000
1346.407256,1.119896,716577.000000,54371.000000
1349.783151,1.120381,716270.000000,54287.000000
1353.154831,1.119650,715315.000000,54306.000000
1356.522297,1.121165,713176.000000,53955.000000
1359.885549,1.121958,710971.000000,53690.000000
1363.244586,1.123609,708733.000000,53318.000000
1366.599408,1.123253,706319.000000,53180.000000
1371.065950,1.125119,701665.000000,52603.000000
1374.410939,1.125117,697460.000000,52288.000000
1377.751713,1.126144,691985.000000,51755.000000
1381.088274,1.126022,686523.000000,51361.000000
1384.420619,1.124739,680381.000000,51052.000000
1387.748751,1.125446,675468.000000,50601.000000
1391.072668,1.125796,671911.000000,50294.000000
1394.392370,1.123471,668723.000000,50324.000000
1397.707858,1.122608,666533.000000,50259.000000
1402.121953,1.123101,665113.000000,50095.000000
1405.427607,1.121659,665198.000000,50268.000000
1408.729047,1.122024,664935.000000,50206.000000
1412.026273,1.122897,664455.000000,50069.000000
1415.319284,1.123101,664556.000000,50053.000000
1418.608081,1.122471,664917.000000,50153.000000
1421.892663,1.122224,665017.000000,50189.000000
1425.173031,1.121228,664617.000000,50274.000000
1428.449184,1.121126,665359.000000,50342.000000
1431.721123,1.122917,666424.000000,50215.000000
1436.077153,1.121796,667155.000000,50400.000000
1439.339258,1.123075,668127.000000,50325.000000
1442.597149,1.124163,668698.000000,50242.000000
1445.850825,1.124591,669264.000000,50235.000000
1449.100287,1.124433,669273.000000,50254.000000
1452.345535,1.124938,669026.000000,50177.000000
1455.586568,1.126327,668707.000000,49993.000000
1458.823387,1.126459,668068.000000,49930.000000
1462.055991,1.125802,666684.000000,49902.000000
1466.359575,1.127441,665382.000000,49617.000000
1469.582345,1.126721,664120.000000,49605.000000
1472.800901,1.128060,662276.000000,49315.000000
1476.015243,1.127532,660385.000000,49234.000000
