Method:,Hadamard 1,,
Host Date-Time:,27/8/18 @ 11:50:39,,
Header Version:,1,,
System Temp (C):,32.17,,
Detector Temp (C):,27.25,,
Humidity (%):,11.88,,
Lamp PD:,3776,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.688120,33639.000000,6898.000000
905.521072,0.717581,38213.000000,7322.000000
909.408318,0.725210,42332.000000,7970.000000
913.291349,0.735273,46950.000000,8637.000000
917.170165,0.747828,51785.000000,9255.000000
921.044767,0.753410,58287.000000,10284.000000
924.915155,0.758942,66979.000000,11668.000000
930.069116,0.786009,82100.000000,13438.000000
933.929670,0.813881,94317.000000,14478.000000
937.786010,0.841105,106099.000000,15297.000000
941.638135,0.867355,116718.000000,15841.000000
945.486046,0.894355,125961.000000,16065.000000
949.329742,0.922202,134812.000000,16126.000000
953.169224,0.950426,143641.000000,16101.000000
957.004491,0.970527,152380.000000,16308.000000
960.835544,0.992652,161986.000000,16475.000000
965.937059,1.012041,175129.000000,17034.000000
969.758279,1.025863,185335.000000,17462.000000
973.575284,1.028457,195809.000000,18339.000000
977.388074,1.040344,206740.000000,18840.000000
981.196650,1.042389,217308.000000,19710.000000
985.001012,1.045593,228047.000000,20532.000000
988.801159,1.045158,238038.000000,21453.000000
992.597092,1.043016,247444.000000,22411.000000
996.388810,1.040729,256381.000000,23343.000000
1000.176314,1.035608,264317.000000,24351.000000
1005.219764,1.027085,273187.000000,25667.000000
1008.997434,1.018988,278661.000000,26674.000000
1012.770890,1.012670,283378.000000,27523.000000
1016.540131,1.003613,286796.000000,28442.000000
1020.305158,0.996795,289545.000000,29169.000000
1024.065971,0.991332,290768.000000,29663.000000
1027.822569,0.985055,291659.000000,30187.000000
1031.574953,0.976724,291738.000000,30780.000000
1035.323122,0.971597,291180.000000,31086.000000
1040.314125,0.961356,289060.000000,31596.000000
1044.052461,0.956902,287270.000000,31724.000000
1047.786582,0.950512,285260.000000,31969.000000
1051.516489,0.941361,282938.000000,32384.000000
1055.242181,0.935518,280933.000000,32590.000000
1058.963659,0.926392,278805.000000,33030.000000
1062.680922,0.919720,276533.000000,33268.000000
1066.393971,0.913330,275025.000000,33577.000000
1070.102806,0.908135,273940.000000,33847.000000
1075.041363,0.899805,272610.000000,34335.000000
1078.740364,0.894674,271864.000000,34648.000000
1082.435151,0.889355,271322.000000,35005.000000
1086.125723,0.885661,271668.000000,35349.000000
1089.812080,0.880297,272144.000000,35851.000000
1093.494224,0.878714,273135.000000,36113.000000
1097.172153,0.875858,273441.000000,36392.000000
1100.845867,0.873553,274759.000000,36762.000000
1104.515367,0.872809,276154.000000,37012.000000
1109.401478,0.872821,278191.000000,37284.000000
1113.061144,0.874465,279666.000000,37340.000000
1116.716596,0.876413,281465.000000,37412.000000
1120.367833,0.882802,283330.000000,37110.000000
1124.014856,0.892092,285720.000000,36631.000000
1127.657665,0.902748,287805.000000,36004.000000
1131.296259,0.914601,290051.000000,35308.000000
1134.930639,0.926648,292331.000000,34612.000000
1138.560804,0.938259,294917.000000,33997.000000
1143.394469,0.956221,298293.000000,32993.000000
1147.014801,0.964635,300985.000000,32652.000000
1150.630918,0.973635,304257.000000,32330.000000
1154.242821,0.980477,307712.000000,32186.000000
1157.850509,0.985994,310881.000000,32107.000000
1161.453983,0.992066,314276.000000,32007.000000
1165.053242,0.992729,318257.000000,32363.000000
1168.648287,0.998240,322819.000000,32413.000000
1172.239118,0.998448,326850.000000,32802.000000
1177.020337,1.000725,332795.000000,33224.000000
1180.601334,1.002836,338252.000000,33605.000000
1184.178116,1.002261,344529.000000,34274.000000
1187.750684,1.007731,351023.000000,34483.000000
1191.319038,1.011726,357082.000000,34757.000000
1194.883177,1.017837,364643.000000,34997.000000
1198.443102,1.023337,372656.000000,35316.000000
1201.998812,1.028494,379916.000000,35579.000000
1205.550308,1.031272,387104.000000,36021.000000
1210.279081,1.037731,398358.000000,36521.000000
1213.820743,1.039845,406330.000000,37071.000000
1217.358191,1.041246,414296.000000,37676.000000
1220.891424,1.038833,423100.000000,38691.000000
1224.420443,1.038995,431276.000000,39424.000000
1227.945248,1.039580,440314.000000,40196.000000
1231.465838,1.038689,449218.000000,41093.000000
1234.982214,1.037402,457807.000000,42003.000000
1238.494375,1.038448,468067.000000,42841.000000
1243.170701,1.040238,479193.000000,43679.000000
1246.673029,1.041321,486758.000000,44258.000000
1250.171142,1.041203,495180.000000,45036.000000
1253.665041,1.040964,503918.000000,45856.000000
1257.154726,1.038916,511654.000000,46780.000000
1260.640196,1.037102,521154.000000,47848.000000
1264.121451,1.034668,534098.000000,49312.000000
1267.598492,1.035673,549524.000000,50619.000000
1271.071319,1.036556,564969.000000,51936.000000
