Method:,Hadamard 1,,
Host Date-Time:,24/8/18 @ 13:5:21,,
Header Version:,1,,
System Temp (C):,32.33,,
Detector Temp (C):,26.3,,
Humidity (%):,13.4,,
Lamp PD:,3778,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.494,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.666266,33639.000000,7254.000000
905.521072,0.693639,38213.000000,7737.000000
909.408318,0.704203,42332.000000,8365.000000
913.291349,0.711546,46950.000000,9122.000000
917.170165,0.725779,51785.000000,9737.000000
921.044767,0.732068,58287.000000,10802.000000
924.915155,0.739436,66979.000000,12204.000000
930.069116,0.764447,82100.000000,14122.000000
933.929670,0.792946,94317.000000,15193.000000
937.786010,0.820020,106099.000000,16058.000000
941.638135,0.848314,116718.000000,16551.000000
945.486046,0.874565,125961.000000,16814.000000
949.329742,0.905895,134812.000000,16743.000000
953.169224,0.931298,143641.000000,16826.000000
957.004491,0.954913,152380.000000,16905.000000
960.835544,0.975137,161986.000000,17153.000000
965.937059,0.996146,175129.000000,17669.000000
969.758279,1.007528,185335.000000,18215.000000
973.575284,1.010231,195809.000000,19125.000000
977.388074,1.020760,206740.000000,19709.000000
981.196650,1.023841,217308.000000,20570.000000
985.001012,1.028423,228047.000000,21360.000000
988.801159,1.028634,238038.000000,22285.000000
992.597092,1.026531,247444.000000,23278.000000
996.388810,1.025017,256381.000000,24203.000000
1000.176314,1.021466,264317.000000,25157.000000
1005.219764,1.012690,273187.000000,26532.000000
1008.997434,1.008739,278661.000000,27311.000000
1012.770890,0.999553,283378.000000,28367.000000
1016.540131,0.990958,286796.000000,29283.000000
1020.305158,0.984378,289545.000000,30015.000000
1024.065971,0.977031,290768.000000,30656.000000
1027.822569,0.972702,291659.000000,31058.000000
1031.574953,0.964139,291738.000000,31685.000000
1035.323122,0.960889,291180.000000,31862.000000
1040.314125,0.950859,289060.000000,32369.000000
1044.052461,0.945539,287270.000000,32565.000000
1047.786582,0.939142,285260.000000,32817.000000
1051.516489,0.929534,282938.000000,33278.000000
1055.242181,0.923066,280933.000000,33538.000000
1058.963659,0.916950,278805.000000,33756.000000
1062.680922,0.909987,276533.000000,34022.000000
1066.393971,0.903104,275025.000000,34377.000000
1070.102806,0.895877,273940.000000,34816.000000
1075.041363,0.889135,272610.000000,35189.000000
1078.740364,0.884797,271864.000000,35445.000000
1082.435151,0.878270,271322.000000,35910.000000
1086.125723,0.876387,271668.000000,36112.000000
1089.812080,0.871947,272144.000000,36547.000000
1093.494224,0.869327,273135.000000,36902.000000
1097.172153,0.864969,273441.000000,37316.000000
1100.845867,0.863510,274759.000000,37622.000000
1104.515367,0.863614,276154.000000,37804.000000
1109.401478,0.864479,278191.000000,38007.000000
1113.061144,0.865236,279666.000000,38142.000000
1116.716596,0.869127,281465.000000,38045.000000
1120.367833,0.874273,283330.000000,37846.000000
1124.014856,0.883069,285720.000000,37400.000000
1127.657665,0.892684,287805.000000,36848.000000
1131.296259,0.906232,290051.000000,35995.000000
1134.930639,0.918494,292331.000000,35268.000000
1138.560804,0.930661,294917.000000,34597.000000
1143.394469,0.945675,298293.000000,33804.000000
1147.014801,0.955098,300985.000000,33377.000000
1150.630918,0.962024,304257.000000,33206.000000
1154.242821,0.969026,307712.000000,33046.000000
1157.850509,0.974383,310881.000000,32977.000000
1161.453983,0.976788,314276.000000,33153.000000
1165.053242,0.980008,318257.000000,33325.000000
1168.648287,0.983176,322819.000000,33557.000000
1172.239118,0.983867,326850.000000,33922.000000
1177.020337,0.985606,332795.000000,34401.000000
1180.601334,0.988411,338252.000000,34740.000000
1184.178116,0.988701,344529.000000,35361.000000
