Method:,Hadamard 1,,
Host Date-Time:,24/8/18 @ 13:10:45,,
Header Version:,1,,
System Temp (C):,33.69,,
Detector Temp (C):,29.03,,
Humidity (%):,12.05,,
Lamp PD:,3775,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.671566,33639.000000,7166.000000
905.521072,0.697133,38213.000000,7675.000000
909.408318,0.709478,42332.000000,8264.000000
913.291349,0.723565,46950.000000,8873.000000
917.170165,0.728598,51785.000000,9674.000000
921.044767,0.741004,58287.000000,10582.000000
924.915155,0.748425,66979.000000,11954.000000
930.069116,0.772204,82100.000000,13872.000000
933.929670,0.801783,94317.000000,14887.000000
937.786010,0.827219,106099.000000,15794.000000
941.638135,0.852029,116718.000000,16410.000000
945.486046,0.880285,125961.000000,16594.000000
949.329742,0.907871,134812.000000,16667.000000
953.169224,0.939663,143641.000000,16505.000000
957.004491,0.957800,152380.000000,16793.000000
960.835544,0.979489,161986.000000,16982.000000
965.937059,0.997451,175129.000000,17616.000000
969.758279,1.007361,185335.000000,18222.000000
973.575284,1.015831,195809.000000,18880.000000
977.388074,1.025524,206740.000000,19494.000000
981.196650,1.027978,217308.000000,20375.000000
985.001012,1.033660,228047.000000,21104.000000
988.801159,1.032942,238038.000000,22065.000000
992.597092,1.029189,247444.000000,23136.000000
996.388810,1.026761,256381.000000,24106.000000
1000.176314,1.022936,264317.000000,25072.000000
1005.219764,1.012412,273187.000000,26549.000000
1008.997434,1.007167,278661.000000,27410.000000
1012.770890,0.999691,283378.000000,28358.000000
1016.540131,0.991076,286796.000000,29275.000000
1020.305158,0.984711,289545.000000,29992.000000
1024.065971,0.979005,290768.000000,30517.000000
1027.822569,0.973668,291659.000000,30989.000000
1031.574953,0.964811,291738.000000,31636.000000
1035.323122,0.960112,291180.000000,31919.000000
1040.314125,0.951826,289060.000000,32297.000000
1044.052461,0.944780,287270.000000,32622.000000
1047.786582,0.939063,285260.000000,32823.000000
1051.516489,0.929730,282938.000000,33263.000000
1055.242181,0.922160,280933.000000,33608.000000
1058.963659,0.915716,278805.000000,33852.000000
1062.680922,0.909439,276533.000000,34065.000000
1066.393971,0.902776,275025.000000,34403.000000
1070.102806,0.895727,273940.000000,34828.000000
1075.041363,0.888863,272610.000000,35211.000000
1078.740364,0.883060,271864.000000,35587.000000
1082.435151,0.878717,271322.000000,35873.000000
1086.125723,0.874730,271668.000000,36250.000000
1089.812080,0.871614,272144.000000,36575.000000
1093.494224,0.867378,273135.000000,37068.000000
1097.172153,0.863899,273441.000000,37408.000000
1100.845867,0.862449,274759.000000,37714.000000
1104.515367,0.862558,276154.000000,37896.000000
