Method:,Hadamard 1,,
Host Date-Time:,24/8/18 @ 13:14:49,,
Header Version:,1,,
System Temp (C):,34.87,,
Detector Temp (C):,29.97,,
Humidity (%):,10.8,,
Lamp PD:,3773,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.496,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.345114,33639.000000,15196.000000
905.521072,0.367553,38213.000000,16393.000000
909.408318,0.372750,42332.000000,17944.000000
913.291349,0.382537,46950.000000,19458.000000
917.170165,0.385172,51785.000000,21332.000000
921.044767,0.387083,58287.000000,23905.000000
924.915155,0.387966,66979.000000,27414.000000
930.069116,0.402687,82100.000000,32483.000000
933.929670,0.422567,94317.000000,35647.000000
937.786010,0.440194,106099.000000,38505.000000
941.638135,0.457181,116718.000000,40734.000000
945.486046,0.472727,125961.000000,42414.000000
949.329742,0.489724,134812.000000,43652.000000
953.169224,0.504452,143641.000000,44960.000000
957.004491,0.516344,152380.000000,46407.000000
960.835544,0.525674,161986.000000,48284.000000
965.937059,0.536095,175129.000000,50964.000000
969.758279,0.543239,185335.000000,53054.000000
973.575284,0.546539,195809.000000,55628.000000
977.388074,0.551824,206740.000000,58023.000000
981.196650,0.555033,217308.000000,60540.000000
985.001012,0.558084,228047.000000,63087.000000
988.801159,0.560312,238038.000000,65514.000000
992.597092,0.560566,247444.000000,68063.000000
996.388810,0.561585,256381.000000,70356.000000
1000.176314,0.561476,264317.000000,72552.000000
1005.219764,0.560421,273187.000000,75169.000000
1008.997434,0.559986,278661.000000,76752.000000
1012.770890,0.558760,283378.000000,78272.000000
1016.540131,0.556775,286796.000000,79579.000000
1020.305158,0.555478,289545.000000,80582.000000
1024.065971,0.554274,290768.000000,81147.000000
1027.822569,0.553537,291659.000000,81534.000000
1031.574953,0.550618,291738.000000,82106.000000
1035.323122,0.550210,291180.000000,82026.000000
1040.314125,0.547768,289060.000000,81888.000000
1044.052461,0.546760,287270.000000,81570.000000
1047.786582,0.546102,285260.000000,81122.000000
1051.516489,0.542847,282938.000000,81067.000000
1055.242181,0.540654,280933.000000,80900.000000
1058.963659,0.540077,278805.000000,80394.000000
1062.680922,0.537600,276533.000000,80195.000000
1066.393971,0.536402,275025.000000,79978.000000
1070.102806,0.534783,273940.000000,79960.000000
1075.041363,0.533544,272610.000000,79799.000000
1078.740364,0.533275,271864.000000,79630.000000
1082.435151,0.532027,271322.000000,79700.000000
1086.125723,0.532384,271668.000000,79736.000000
1089.812080,0.532029,272144.000000,79941.000000
1093.494224,0.532284,273135.000000,80185.000000
1097.172153,0.532917,273441.000000,80158.000000
1100.845867,0.533566,274759.000000,80424.000000
1104.515367,0.535447,276154.000000,80483.000000
1109.401478,0.537927,278191.000000,80615.000000
1113.061144,0.539987,279666.000000,80659.000000
1116.716596,0.543009,281465.000000,80615.000000
1120.367833,0.547728,283330.000000,80272.000000
1124.014856,0.554384,285720.000000,79718.000000
1127.657665,0.561273,287805.000000,79036.000000
1131.296259,0.573229,290051.000000,77490.000000
1134.930639,0.584587,292331.000000,76083.000000
1138.560804,0.597672,294917.000000,74478.000000
1143.394469,0.614994,298293.000000,72385.000000
1147.014801,0.625224,300985.000000,71338.000000
1150.630918,0.634547,304257.000000,70582.000000
1154.242821,0.643108,307712.000000,69990.000000
1157.850509,0.647949,310881.000000,69927.000000
1161.453983,0.653344,314276.000000,69818.000000
1165.053242,0.657345,318257.000000,70054.000000
1168.648287,0.660745,322819.000000,70504.000000
1172.239118,0.663170,326850.000000,70987.000000
1177.020337,0.668740,332795.000000,71357.000000
1180.601334,0.672379,338252.000000,71922.000000
1184.178116,0.676265,344529.000000,72604.000000
1187.750684,0.682459,351023.000000,72925.000000
1191.319038,0.688773,357082.000000,73113.000000
1194.883177,0.695569,364643.000000,73502.000000
1198.443102,0.702963,372656.000000,73849.000000
1201.998812,0.709635,379916.000000,74140.000000
1205.550308,0.714885,387104.000000,74635.000000
1210.279081,0.719666,398358.000000,75964.000000
1213.820743,0.720211,406330.000000,77387.000000
1217.358191,0.715515,414296.000000,79762.000000
1220.891424,0.711476,423100.000000,82218.000000
1224.420443,0.706508,431276.000000,84771.000000
1227.945248,0.703600,440314.000000,87129.000000
1231.465838,0.700935,449218.000000,89438.000000
1234.982214,0.699081,457807.000000,91538.000000
1238.494375,0.698888,468067.000000,93631.000000
1243.170701,0.697602,479193.000000,96141.000000
1246.673029,0.697481,486758.000000,97686.000000
1250.171142,0.697735,495180.000000,99318.000000
1253.665041,0.697278,503918.000000,101177.000000
1257.154726,0.695179,511654.000000,103228.000000
1260.640196,0.693607,521154.000000,105526.000000
1264.121451,0.692712,534098.000000,108370.000000
1267.598492,0.694245,549524.000000,111107.000000
1271.071319,0.696386,564969.000000,113668.000000
1275.695199,0.699180,583497.000000,116643.000000
1279.158192,0.701302,596509.000000,118663.000000
1282.616970,0.704466,610137.000000,120493.000000
1286.071534,0.707585,621777.000000,121913.000000
1289.521884,0.711480,632911.000000,122988.000000
1292.968020,0.716887,643299.000000,123460.000000
1296.409940,0.723333,653998.000000,123664.000000
1299.847647,0.729124,662535.000000,123619.000000
1303.281139,0.735627,669534.000000,123068.000000
1307.852572,0.745291,680622.000000,122353.000000
1311.276231,0.753154,687613.000000,121392.000000
1314.695675,0.760059,692993.000000,120412.000000
1318.110904,0.768490,697587.000000,118880.000000
1321.521919,0.778665,703545.000000,117119.000000
1324.928720,0.787773,707997.000000,115414.000000
1328.331306,0.796310,710077.000000,113500.000000
1331.729678,0.804964,712333.000000,111614.000000
1335.123835,0.814520,715576.000000,109682.000000
1339.642823,0.825621,717691.000000,107230.000000
1343.027147,0.832788,716977.000000,105370.000000
1346.407256,0.840209,716577.000000,103527.000000
1349.783151,0.846336,716270.000000,102033.000000
1353.154831,0.852924,715315.000000,100363.000000
1356.522297,0.859152,713176.000000,98638.000000
1359.885549,0.866529,710971.000000,96677.000000
1363.244586,0.875616,708733.000000,94377.000000
1366.599408,0.885752,706319.000000,91886.000000
1371.065950,0.903313,701665.000000,87663.000000
1374.410939,0.918682,697460.000000,84108.000000
1377.751713,0.937289,691985.000000,79948.000000
1381.088274,0.957164,686523.000000,75769.000000
1384.420619,0.976047,680381.000000,71896.000000
1387.748751,0.995814,675468.000000,68201.000000
1391.072668,1.011827,671911.000000,65386.000000
1394.392370,1.023376,668723.000000,63368.000000
1397.707858,1.033959,666533.000000,61640.000000
1402.121953,1.043552,665113.000000,60165.000000
1405.427607,1.050483,665198.000000,59220.000000
1408.729047,1.054926,664935.000000,58594.000000
1412.026273,1.060042,664455.000000,57866.000000
1415.319284,1.063499,664556.000000,57416.000000
1418.608081,1.064598,664917.000000,57302.000000
1421.892663,1.066151,665017.000000,57106.000000
1425.173031,1.067162,664617.000000,56939.000000
1428.449184,1.068792,665359.000000,56789.000000
1431.721123,1.070191,666424.000000,56697.000000
1436.077153,1.069825,667155.000000,56807.000000
1439.339258,1.070488,668127.000000,56803.000000
1442.597149,1.072836,668698.000000,56545.000000
1445.850825,1.073088,669264.000000,56560.000000
1449.100287,1.073317,669273.000000,56531.000000
1452.345535,1.074079,669026.000000,56411.000000
1455.586568,1.074859,668707.000000,56283.000000
1458.823387,1.075711,668068.000000,56119.000000
1462.055991,1.074199,666684.000000,56198.000000
1466.359575,1.074891,665382.000000,55999.000000
1469.582345,1.073733,664120.000000,56042.000000
1472.800901,1.071898,662276.000000,56123.000000
1476.015243,1.071098,660385.000000,56066.000000
1479.225371,1.070832,658310.000000,55924.000000
1482.431284,1.069505,656313.000000,55925.000000
1485.632982,1.067667,654173.000000,55979.000000
1488.830466,1.065976,651677.000000,55983.000000
1492.023736,1.064661,649126.000000,55933.000000
1496.274873,1.062490,646247.000000,55964.000000
1499.458309,1.060284,643294.000000,55992.000000
1502.637531,1.058190,640417.000000,56011.000000
1505.812538,1.056787,637303.000000,55919.000000
1508.983330,1.054433,634074.000000,55938.000000
1512.149909,1.052588,630551.000000,55864.000000
1515.312273,1.049036,626579.000000,55968.000000
1518.470422,1.047832,623236.000000,55824.000000
1521.624357,1.046249,619556.000000,55697.000000
1525.823048,1.042572,614520.000000,55714.000000
1528.967149,1.039597,610731.000000,55751.000000
1532.107036,1.036921,606260.000000,55685.000000
1535.242709,1.034153,601771.000000,55626.000000
1538.374167,1.032725,597293.000000,55394.000000
1541.501410,1.029681,592533.000000,55339.000000
1544.624439,1.026077,587614.000000,55337.000000
1547.743254,1.022762,582008.000000,55229.000000
1550.857855,1.020717,576631.000000,54977.000000
1555.004099,1.017628,569180.000000,54654.000000
1558.108866,1.015595,563682.000000,54380.000000
1561.209418,1.012070,557265.000000,54199.000000
1564.305756,1.009372,551187.000000,53942.000000
1567.397879,1.006735,545545.000000,53715.000000
1570.485788,1.004138,539133.000000,53402.000000
1573.569483,1.001488,532551.000000,53073.000000
1576.648963,0.999263,525907.000000,52680.000000
1579.724229,0.996838,518938.000000,52273.000000
1583.818027,0.994832,509333.000000,51543.000000
1586.883459,0.993232,502458.000000,51035.000000
1589.944677,0.990594,494992.000000,50583.000000
1593.001680,0.987006,487232.000000,50203.000000
1596.054469,0.984082,480020.000000,49794.000000
1599.103043,0.981990,472168.000000,49216.000000
1602.147403,0.983877,464280.000000,48184.000000
1605.187548,0.981118,456706.000000,47700.000000
1608.223479,0.979296,448530.000000,47043.000000
1612.264832,0.978778,437205.000000,45910.000000
1615.290929,0.977584,429490.000000,45224.000000
1618.312812,0.978006,421504.000000,44340.000000
1621.330481,0.977573,413173.000000,43507.000000
1624.343935,0.976527,404553.000000,42702.000000
1627.353174,0.976619,396423.000000,41835.000000
1630.358200,0.980409,388513.000000,40644.000000
1633.359010,0.981340,380160.000000,39685.000000
1636.355607,0.981387,371598.000000,38787.000000
1640.344513,0.983548,360463.000000,37438.000000
1643.331275,0.986147,352069.000000,36348.000000
1646.313824,0.987183,343006.000000,35328.000000
1649.292158,0.988881,333872.000000,34253.000000
1652.266277,0.992088,324504.000000,33047.000000
1655.236182,0.993471,314053.000000,31881.000000
1658.201873,0.995535,302316.000000,30544.000000
1661.163349,0.998616,289087.000000,29001.000000
1664.120611,1.002884,274074.000000,27226.000000
1668.057070,1.007481,249318.000000,24506.000000
1671.004498,1.012832,227555.000000,22093.000000
1673.947712,1.016059,203186.000000,19581.000000
1676.886711,1.013876,178338.000000,17273.000000
1679.821496,1.012443,153876.000000,14953.000000
1682.752066,1.013700,131194.000000,12712.000000
1685.678422,1.026058,111238.000000,10476.000000
1688.600564,1.026642,94301.000000,8869.000000
1691.518491,1.028941,80350.000000,7517.000000
1695.402504,1.032318,65120.000000,6045.000000
1698.310598,1.042458,55907.000000,5070.000000
1701.214477,1.042090,48643.000000,4415.000000
