Method:,Hadamard 1,,
Host Date-Time:,27/8/18 @ 11:56:8,,
Header Version:,1,,
System Temp (C):,33.83,,
Detector Temp (C):,29.14,,
Humidity (%):,10.24,,
Lamp PD:,3774,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.450,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.687931,33639.000000,6901.000000
905.521072,0.715451,38213.000000,7358.000000
909.408318,0.719741,42332.000000,8071.000000
913.291349,0.739111,46950.000000,8561.000000
917.170165,0.747218,51785.000000,9268.000000
921.044767,0.756759,58287.000000,10205.000000
924.915155,0.766337,66979.000000,11471.000000
930.069116,0.792193,82100.000000,13248.000000
933.929670,0.815203,94317.000000,14434.000000
937.786010,0.841730,106099.000000,15275.000000
941.638135,0.866123,116718.000000,15886.000000
945.486046,0.894815,125961.000000,16048.000000
949.329742,0.923902,134812.000000,16063.000000
953.169224,0.949321,143641.000000,16142.000000
957.004491,0.973065,152380.000000,16213.000000
960.835544,0.993364,161986.000000,16448.000000
965.937059,1.012322,175129.000000,17023.000000
969.758279,1.023062,185335.000000,17575.000000
973.575284,1.027653,195809.000000,18373.000000
977.388074,1.038320,206740.000000,18928.000000
981.196650,1.043271,217308.000000,19670.000000
985.001012,1.044579,228047.000000,20580.000000
988.801159,1.044632,238038.000000,21479.000000
992.597092,1.041971,247444.000000,22465.000000
996.388810,1.040060,256381.000000,23379.000000
1000.176314,1.034202,264317.000000,24430.000000
1005.219764,1.026155,273187.000000,25722.000000
1008.997434,1.018760,278661.000000,26688.000000
1012.770890,1.010373,283378.000000,27669.000000
1016.540131,1.002637,286796.000000,28506.000000
1020.305158,0.995620,289545.000000,29248.000000
1024.065971,0.991595,290768.000000,29645.000000
1027.822569,0.983949,291659.000000,30264.000000
1031.574953,0.976372,291738.000000,30805.000000
1035.323122,0.970049,291180.000000,31197.000000
1040.314125,0.963588,289060.000000,31434.000000
1044.052461,0.955208,287270.000000,31848.000000
1047.786582,0.950362,285260.000000,31980.000000
1051.516489,0.941978,282938.000000,32338.000000
1055.242181,0.932517,280933.000000,32816.000000
1058.963659,0.926537,278805.000000,33019.000000
1062.680922,0.919459,276533.000000,33288.000000
1066.393971,0.912645,275025.000000,33630.000000
1070.102806,0.906522,273940.000000,33973.000000
1075.041363,0.899476,272610.000000,34361.000000
1078.740364,0.894874,271864.000000,34632.000000
1082.435151,0.889094,271322.000000,35026.000000
1086.125723,0.884092,271668.000000,35477.000000
1089.812080,0.881365,272144.000000,35763.000000
1093.494224,0.877885,273135.000000,36182.000000
1097.172153,0.875476,273441.000000,36424.000000
1100.845867,0.872467,274759.000000,36854.000000
1104.515367,0.873079,276154.000000,36989.000000
1109.401478,0.872076,278191.000000,37348.000000
1113.061144,0.874221,279666.000000,37361.000000
1116.716596,0.875799,281465.000000,37465.000000
1120.367833,0.882497,283330.000000,37136.000000
1124.014856,0.891121,285720.000000,36713.000000
1127.657665,0.901675,287805.000000,36093.000000
1131.296259,0.916055,290051.000000,35190.000000
1134.930639,0.927339,292331.000000,34557.000000
1138.560804,0.939859,294917.000000,33872.000000
1143.394469,0.955288,298293.000000,33064.000000
1147.014801,0.964662,300985.000000,32650.000000
1150.630918,0.974253,304257.000000,32284.000000
1154.242821,0.980289,307712.000000,32200.000000
1157.850509,0.987254,310881.000000,32014.000000
1161.453983,0.990752,314276.000000,32104.000000
1165.053242,0.994491,318257.000000,32232.000000
1168.648287,0.996101,322819.000000,32573.000000
1172.239118,0.999058,326850.000000,32756.000000
1177.020337,1.002598,332795.000000,33081.000000
1180.601334,1.002320,338252.000000,33645.000000
1184.178116,1.005070,344529.000000,34053.000000
1187.750684,1.007504,351023.000000,34501.000000
1191.319038,1.012326,357082.000000,34709.000000
1194.883177,1.018011,364643.000000,34983.000000
1198.443102,1.022894,372656.000000,35352.000000
1201.998812,1.028164,379916.000000,35606.000000
1205.550308,1.032310,387104.000000,35935.000000
1210.279081,1.037707,398358.000000,36523.000000
1213.820743,1.041300,406330.000000,36947.000000
1217.358191,1.040658,414296.000000,37727.000000
1220.891424,1.039766,423100.000000,38608.000000
1224.420443,1.038521,431276.000000,39467.000000
1227.945248,1.038037,440314.000000,40339.000000
1231.465838,1.038499,449218.000000,41111.000000
1234.982214,1.038417,457807.000000,41905.000000
1238.494375,1.038296,468067.000000,42856.000000
1243.170701,1.039364,479193.000000,43767.000000
1246.673029,1.040312,486758.000000,44361.000000
1250.171142,1.040490,495180.000000,45110.000000
1253.665041,1.040736,503918.000000,45880.000000
