Method:,Hadamard 1,,
Host Date-Time:,23/8/18 @ 17:8:50,,
Header Version:,1,,
System Temp (C):,32.49,,
Detector Temp (C):,27.7,,
Humidity (%):,12.81,,
Lamp PD:,3776,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.598960,33639.000000,8470.000000
905.521072,0.627053,38213.000000,9019.000000
909.408318,0.636374,42332.000000,9779.000000
913.291349,0.648836,46950.000000,10539.000000
917.170165,0.657033,51785.000000,11407.000000
921.044767,0.663928,58287.000000,12637.000000
924.915155,0.667004,66979.000000,14419.000000
930.069116,0.694209,82100.000000,16601.000000
933.929670,0.720864,94317.000000,17936.000000
937.786010,0.745201,106099.000000,19077.000000
941.638135,0.772958,116718.000000,19687.000000
945.486046,0.794455,125961.000000,20220.000000
949.329742,0.822147,134812.000000,20304.000000
953.169224,0.848693,143641.000000,20351.000000
957.004491,0.867545,152380.000000,20672.000000
960.835544,0.885792,161986.000000,21071.000000
965.937059,0.904782,175129.000000,21806.000000
969.758279,0.914368,185335.000000,22573.000000
973.575284,0.921449,195809.000000,23463.000000
977.388074,0.929497,206740.000000,24318.000000
981.196650,0.932208,217308.000000,25402.000000
985.001012,0.936898,228047.000000,26371.000000
988.801159,0.937803,238038.000000,27469.000000
992.597092,0.936807,247444.000000,28620.000000
996.388810,0.933331,256381.000000,29892.000000
1000.176314,0.929756,264317.000000,31072.000000
1005.219764,0.923802,273187.000000,32558.000000
1008.997434,0.918646,278661.000000,33607.000000
1012.770890,0.911636,283378.000000,34732.000000
1016.540131,0.904078,286796.000000,35768.000000
1020.305158,0.899507,289545.000000,36493.000000
1024.065971,0.894138,290768.000000,37103.000000
1027.822569,0.888684,291659.000000,37687.000000
1031.574953,0.883168,291738.000000,38179.000000
1035.323122,0.877766,291180.000000,38583.000000
1040.314125,0.872335,289060.000000,38784.000000
1044.052461,0.865636,287270.000000,39143.000000
1047.786582,0.861689,285260.000000,39224.000000
1051.516489,0.854633,282938.000000,39542.000000
1055.242181,0.849135,280933.000000,39762.000000
1058.963659,0.841269,278805.000000,40182.000000
1062.680922,0.836668,276533.000000,40279.000000
1066.393971,0.832314,275025.000000,40463.000000
1070.102806,0.826208,273940.000000,40874.000000
1075.041363,0.820550,272610.000000,41209.000000
1078.740364,0.816387,271864.000000,41492.000000
1082.435151,0.812423,271322.000000,41789.000000
1086.125723,0.809365,271668.000000,42138.000000
1089.812080,0.806420,272144.000000,42499.000000
1093.494224,0.804710,273135.000000,42822.000000
1097.172153,0.802004,273441.000000,43138.000000
1100.845867,0.801422,274759.000000,43404.000000
1104.515367,0.800978,276154.000000,43669.000000
1109.401478,0.802086,278191.000000,43879.000000
1113.061144,0.803414,279666.000000,43977.000000
1116.716596,0.806446,281465.000000,43952.000000
1120.367833,0.811523,283330.000000,43729.000000
1124.014856,0.819824,285720.000000,43263.000000
1127.657665,0.830485,287805.000000,42522.000000
1131.296259,0.842849,290051.000000,41651.000000
1134.930639,0.856772,292331.000000,40654.000000
1138.560804,0.868672,294917.000000,39905.000000
1143.394469,0.886719,298293.000000,38719.000000
1147.014801,0.895743,300985.000000,38265.000000
1150.630918,0.904223,304257.000000,37933.000000
1154.242821,0.911734,307712.000000,37706.000000
1157.850509,0.917406,310881.000000,37600.000000
1161.453983,0.922539,314276.000000,37564.000000
1165.053242,0.924414,318257.000000,37876.000000
1168.648287,0.927112,322819.000000,38181.000000
1172.239118,0.929147,326850.000000,38477.000000
1177.020337,0.932808,332795.000000,38848.000000
1180.601334,0.933656,338252.000000,39408.000000
1184.178116,0.935937,344529.000000,39929.000000
1187.750684,0.939632,351023.000000,40337.000000
1191.319038,0.944285,357082.000000,40596.000000
1194.883177,0.951421,364643.000000,40780.000000
1198.443102,0.956274,372656.000000,41213.000000
1201.998812,0.960521,379916.000000,41607.000000
1205.550308,0.965821,387104.000000,41880.000000
1210.279081,0.971915,398358.000000,42497.000000
1213.820743,0.973305,406330.000000,43209.000000
1217.358191,0.972862,414296.000000,44101.000000
1220.891424,0.971920,423100.000000,45136.000000
1224.420443,0.971422,431276.000000,46061.000000
1227.945248,0.971074,440314.000000,47064.000000
1231.465838,0.969879,449218.000000,48148.000000
1234.982214,0.969283,457807.000000,49136.000000
1238.494375,0.969708,468067.000000,50188.000000
1243.170701,0.971308,479193.000000,51192.000000
1246.673029,0.972213,486758.000000,51892.000000
1250.171142,0.972211,495180.000000,52790.000000
1253.665041,0.972790,503918.000000,53650.000000
1257.154726,0.969665,511654.000000,54867.000000
1260.640196,0.968383,521154.000000,56051.000000
1264.121451,0.966408,534098.000000,57705.000000
1267.598492,0.967914,549524.000000,59166.000000
1271.071319,0.969846,564969.000000,60559.000000
1275.695199,0.972178,583497.000000,62210.000000
1279.158192,0.974749,596509.000000,63222.000000
1282.616970,0.976555,610137.000000,64398.000000
1286.071534,0.979634,621777.000000,65163.000000
1289.521884,0.982879,632911.000000,65836.000000
1292.968020,0.987450,643299.000000,66216.000000
1296.409940,0.993225,653998.000000,66428.000000
1299.847647,0.998668,662535.000000,66457.000000
1303.281139,1.004285,669534.000000,66296.000000
1307.852572,1.012192,680622.000000,66178.000000
1311.276231,1.018189,687613.000000,65941.000000
1314.695675,1.023851,692993.000000,65596.000000
1318.110904,1.028625,697587.000000,65309.000000
1321.521919,1.037019,703545.000000,64606.000000
1324.928720,1.042395,707997.000000,64215.000000
