Method:,Hadamard 1,,
Host Date-Time:,24/8/18 @ 13:18:18,,
Header Version:,1,,
System Temp (C):,35.39,,
Detector Temp (C):,30.65,,
Humidity (%):,10.12,,
Lamp PD:,3773,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.496,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.217192,33639.000000,20401.000000
905.521072,0.234862,38213.000000,22251.000000
909.408318,0.238905,42332.000000,24421.000000
913.291349,0.245938,46950.000000,26650.000000
917.170165,0.245990,51785.000000,29391.000000
921.044767,0.245822,58287.000000,33094.000000
924.915155,0.242887,66979.000000,38287.000000
930.069116,0.255112,82100.000000,45628.000000
933.929670,0.269565,94317.000000,50702.000000
937.786010,0.286218,106099.000000,54890.000000
941.638135,0.298722,116718.000000,58670.000000
945.486046,0.310747,125961.000000,61587.000000
949.329742,0.322999,134812.000000,64081.000000
953.169224,0.334509,143641.000000,66492.000000
957.004491,0.341756,152380.000000,69370.000000
960.835544,0.349607,161986.000000,72422.000000
965.937059,0.355325,175129.000000,77274.000000
969.758279,0.360111,185335.000000,80881.000000
973.575284,0.362056,195809.000000,85070.000000
977.388074,0.366054,206740.000000,88996.000000
981.196650,0.367432,217308.000000,93249.000000
985.001012,0.370760,228047.000000,97110.000000
988.801159,0.371616,238038.000000,101165.000000
992.597092,0.372068,247444.000000,105053.000000
996.388810,0.372828,256381.000000,108657.000000
1000.176314,0.372492,264317.000000,112107.000000
1005.219764,0.372163,273187.000000,115957.000000
1008.997434,0.371809,278661.000000,118377.000000
1012.770890,0.371419,283378.000000,120489.000000
1016.540131,0.370054,286796.000000,122326.000000
1020.305158,0.369666,289545.000000,123609.000000
1024.065971,0.368873,290768.000000,124358.000000
1027.822569,0.368668,291659.000000,124798.000000
1031.574953,0.367153,291738.000000,125268.000000
1035.323122,0.367123,291180.000000,125037.000000
1040.314125,0.365728,289060.000000,124526.000000
1044.052461,0.365549,287270.000000,123806.000000
1047.786582,0.365025,285260.000000,123088.000000
1051.516489,0.363431,282938.000000,122535.000000
1055.242181,0.362606,280933.000000,121898.000000
1058.963659,0.361633,278805.000000,121246.000000
1062.680922,0.361294,276533.000000,120352.000000
1066.393971,0.360137,275025.000000,120015.000000
1070.102806,0.359181,273940.000000,119805.000000
1075.041363,0.358894,272610.000000,119302.000000
1078.740364,0.359367,271864.000000,118846.000000
1082.435151,0.359452,271322.000000,118586.000000
1086.125723,0.360397,271668.000000,118479.000000
1089.812080,0.360773,272144.000000,118584.000000
1093.494224,0.362307,273135.000000,118596.000000
1097.172153,0.363072,273441.000000,118520.000000
1100.845867,0.364395,274759.000000,118729.000000
1104.515367,0.366573,276154.000000,118735.000000
1109.401478,0.368738,278191.000000,119016.000000
1113.061144,0.371184,279666.000000,118975.000000
1116.716596,0.374802,281465.000000,118747.000000
1120.367833,0.378912,283330.000000,118408.000000
1124.014856,0.385020,285720.000000,117739.000000
1127.657665,0.392459,287805.000000,116584.000000
1131.296259,0.402926,290051.000000,114696.000000
1134.930639,0.414406,292331.000000,112582.000000
1138.560804,0.427672,294917.000000,110161.000000
1143.394469,0.445052,298293.000000,107051.000000
1147.014801,0.455115,300985.000000,105543.000000
1150.630918,0.464723,304257.000000,104356.000000
1154.242821,0.473544,307712.000000,103419.000000
1157.850509,0.478877,310881.000000,103209.000000
1161.453983,0.483855,314276.000000,103147.000000
1165.053242,0.487611,318257.000000,103554.000000
1168.648287,0.490392,322819.000000,104368.000000
1172.239118,0.493035,326850.000000,105030.000000
1177.020337,0.499530,332795.000000,105353.000000
1180.601334,0.502834,338252.000000,106269.000000
1184.178116,0.507761,344529.000000,107020.000000
1187.750684,0.513826,351023.000000,107525.000000
1191.319038,0.520689,357082.000000,107666.000000
1194.883177,0.528211,364643.000000,108058.000000
1198.443102,0.536071,372656.000000,108452.000000
1201.998812,0.542436,379916.000000,108956.000000
1205.550308,0.548798,387104.000000,109403.000000
1210.279081,0.553080,398358.000000,111479.000000
1213.820743,0.551034,406330.000000,114247.000000
1217.358191,0.544748,414296.000000,118185.000000
