Method:,Hadamard 1,,
Host Date-Time:,23/8/18 @ 17:22:31,,
Header Version:,1,,
System Temp (C):,35.03,,
Detector Temp (C):,30.66,,
Humidity (%):,10.21,,
Lamp PD:,3773,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.496,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.667224,33639.000000,7238.000000
905.521072,0.684969,38213.000000,7893.000000
909.408318,0.693637,42332.000000,8571.000000
913.291349,0.715563,46950.000000,9038.000000
917.170165,0.724443,51785.000000,9767.000000
921.044767,0.732631,58287.000000,10788.000000
924.915155,0.741541,66979.000000,12145.000000
930.069116,0.770018,82100.000000,13942.000000
933.929670,0.797400,94317.000000,15038.000000
937.786010,0.822189,106099.000000,15978.000000
941.638135,0.848078,116718.000000,16560.000000
945.486046,0.876299,125961.000000,16747.000000
949.329742,0.905014,134812.000000,16777.000000
953.169224,0.934276,143641.000000,16711.000000
957.004491,0.955736,152380.000000,16873.000000
960.835544,0.974555,161986.000000,17176.000000
965.937059,0.992523,175129.000000,17817.000000
969.758279,1.006909,185335.000000,18241.000000
973.575284,1.010118,195809.000000,19130.000000
977.388074,1.022681,206740.000000,19622.000000
981.196650,1.023926,217308.000000,20566.000000
985.001012,1.030809,228047.000000,21243.000000
988.801159,1.026321,238038.000000,22404.000000
992.597092,1.026961,247444.000000,23255.000000
996.388810,1.023351,256381.000000,24296.000000
1000.176314,1.019812,264317.000000,25253.000000
1005.219764,1.010681,273187.000000,26655.000000
1008.997434,1.003931,278661.000000,27615.000000
1012.770890,0.994984,283378.000000,28667.000000
1016.540131,0.987001,286796.000000,29551.000000
1020.305158,0.979930,289545.000000,30324.000000
1024.065971,0.972143,290768.000000,31003.000000
1027.822569,0.968818,291659.000000,31337.000000
1031.574953,0.960345,291738.000000,31963.000000
1035.323122,0.953121,291180.000000,32437.000000
1040.314125,0.946082,289060.000000,32727.000000
1044.052461,0.940329,287270.000000,32958.000000
1047.786582,0.933528,285260.000000,33244.000000
1051.516489,0.925042,282938.000000,33624.000000
1055.242181,0.916626,280933.000000,34039.000000
1058.963659,0.908692,278805.000000,34404.000000
1062.680922,0.903337,276533.000000,34547.000000
1066.393971,0.896783,275025.000000,34881.000000
1070.102806,0.889770,273940.000000,35309.000000
1075.041363,0.882667,272610.000000,35717.000000
1078.740364,0.877543,271864.000000,36042.000000
1082.435151,0.872348,271322.000000,36403.000000
1086.125723,0.868049,271668.000000,36812.000000
1089.812080,0.863847,272144.000000,37235.000000
1093.494224,0.860728,273135.000000,37640.000000
