Method:,Hadamard 1,,
Host Date-Time:,24/8/18 @ 13:19:59,,
Header Version:,1,,
System Temp (C):,35.4,,
Detector Temp (C):,31.25,,
Humidity (%):,9.82,,
Lamp PD:,3773,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.328433,33639.000000,15791.000000
905.521072,0.345221,38213.000000,17258.000000
909.408318,0.353274,42332.000000,18767.000000
913.291349,0.364161,46950.000000,20299.000000
917.170165,0.364247,51785.000000,22385.000000
921.044767,0.366313,58287.000000,25076.000000
924.915155,0.366275,66979.000000,28818.000000
930.069116,0.383107,82100.000000,33981.000000
933.929670,0.400767,94317.000000,37482.000000
937.786010,0.418578,106099.000000,40470.000000
941.638135,0.433387,116718.000000,43028.000000
945.486046,0.447526,125961.000000,44948.000000
949.329742,0.463857,134812.000000,46331.000000
953.169224,0.478351,143641.000000,47745.000000
957.004491,0.487779,152380.000000,49562.000000
960.835544,0.496912,161986.000000,51590.000000
965.937059,0.505879,175129.000000,54636.000000
969.758279,0.513151,185335.000000,56860.000000
973.575284,0.516375,195809.000000,59629.000000
977.388074,0.520344,206740.000000,62385.000000
981.196650,0.522935,217308.000000,65184.000000
985.001012,0.527134,228047.000000,67747.000000
988.801159,0.528112,238038.000000,70556.000000
992.597092,0.529079,247444.000000,73181.000000
996.388810,0.529532,256381.000000,75745.000000
1000.176314,0.528952,264317.000000,78194.000000
1005.219764,0.528291,273187.000000,80941.000000
1008.997434,0.527644,278661.000000,82686.000000
1012.770890,0.525736,283378.000000,84456.000000
1016.540131,0.524273,286796.000000,85763.000000
1020.305158,0.523602,289545.000000,86719.000000
1024.065971,0.522204,290768.000000,87366.000000
1027.822569,0.520961,291659.000000,87885.000000
1031.574953,0.519387,291738.000000,88228.000000
1035.323122,0.518540,291180.000000,88231.000000
1040.314125,0.516313,289060.000000,88039.000000
1044.052461,0.516243,287270.000000,87508.000000
1047.786582,0.515083,285260.000000,87128.000000
1051.516489,0.512686,282938.000000,86897.000000
1055.242181,0.510899,280933.000000,86637.000000
1058.963659,0.509310,278805.000000,86296.000000
1062.680922,0.508113,276533.000000,85829.000000
1066.393971,0.507157,275025.000000,85549.000000
1070.102806,0.505679,273940.000000,85502.000000
1075.041363,0.504939,272610.000000,85232.000000
1078.740364,0.504504,271864.000000,85084.000000
1082.435151,0.504383,271322.000000,84938.000000
1086.125723,0.503828,271668.000000,85155.000000
1089.812080,0.504186,272144.000000,85234.000000
1093.494224,0.506091,273135.000000,85170.000000
1097.172153,0.506016,273441.000000,85280.000000
1100.845867,0.507006,274759.000000,85496.000000
1104.515367,0.509256,276154.000000,85486.000000
1109.401478,0.511225,278191.000000,85727.000000
1113.061144,0.513527,279666.000000,85726.000000
1116.716596,0.516966,281465.000000,85597.000000
1120.367833,0.521685,283330.000000,85233.000000
1124.014856,0.527586,285720.000000,84792.000000
1127.657665,0.536497,287805.000000,83676.000000
1131.296259,0.547460,290051.000000,82227.000000
1134.930639,0.559454,292331.000000,80616.000000
1138.560804,0.572590,294917.000000,78906.000000
1143.394469,0.589338,298293.000000,76790.000000
1147.014801,0.599696,300985.000000,75657.000000
1150.630918,0.609449,304257.000000,74781.000000
1154.242821,0.617080,307712.000000,74313.000000
1157.850509,0.622876,310881.000000,74083.000000
1161.453983,0.627874,314276.000000,74035.000000
1165.053242,0.632128,318257.000000,74242.000000
1168.648287,0.634825,322819.000000,74840.000000
1172.239118,0.637029,326850.000000,75391.000000
1177.020337,0.642920,332795.000000,75728.000000
1180.601334,0.646824,338252.000000,76281.000000
1184.178116,0.651497,344529.000000,76865.000000
1187.750684,0.657077,351023.000000,77314.000000
1191.319038,0.663584,357082.000000,77479.000000
1194.883177,0.670113,364643.000000,77939.000000
1198.443102,0.678024,372656.000000,78214.000000
1201.998812,0.683895,379916.000000,78667.000000
1205.550308,0.689081,387104.000000,79204.000000
1210.279081,0.694974,398358.000000,80408.000000
1213.820743,0.694345,406330.000000,82136.000000
1217.358191,0.690799,414296.000000,84433.000000
1220.891424,0.685981,423100.000000,87189.000000
1224.420443,0.680629,431276.000000,89976.000000
1227.945248,0.677583,440314.000000,92508.000000
1231.465838,0.674304,449218.000000,95094.000000
1234.982214,0.672195,457807.000000,97384.000000
1238.494375,0.671905,468067.000000,99633.000000
1243.170701,0.671391,479193.000000,102122.000000
1246.673029,0.670480,486758.000000,103952.000000
1250.171142,0.670573,495180.000000,105728.000000
1253.665041,0.670511,503918.000000,107609.000000
1257.154726,0.669091,511654.000000,109619.000000
1260.640196,0.667585,521154.000000,112042.000000
1264.121451,0.666561,534098.000000,115096.000000
1267.598492,0.667829,549524.000000,118075.000000
1271.071319,0.669774,564969.000000,120851.000000
1275.695199,0.672736,583497.000000,123966.000000
1279.158192,0.675226,596509.000000,126006.000000
1282.616970,0.678744,610137.000000,127845.000000
1286.071534,0.681768,621777.000000,129380.000000
1289.521884,0.686175,632911.000000,130367.000000
1292.968020,0.691321,643299.000000,130946.000000
1296.409940,0.697662,653998.000000,131194.000000
1299.847647,0.703775,662535.000000,131049.000000
1303.281139,0.709866,669534.000000,130589.000000
1307.852572,0.720043,680622.000000,129677.000000
1311.276231,0.727762,687613.000000,128701.000000
1314.695675,0.735147,692993.000000,127521.000000
1318.110904,0.743604,697587.000000,125891.000000
1321.521919,0.753363,703545.000000,124145.000000
1324.928720,0.762822,707997.000000,122239.000000
1328.331306,0.771842,710077.000000,120078.000000
1331.729678,0.780908,712333.000000,117971.000000
1335.123835,0.789962,715576.000000,116063.000000
1339.642823,0.801179,717691.000000,113438.000000
1343.027147,0.808597,716977.000000,111406.000000
1346.407256,0.816011,716577.000000,109459.000000
1349.783151,0.822047,716270.000000,107902.000000
1353.154831,0.828766,715315.000000,106104.000000
1356.522297,0.835296,713176.000000,104208.000000
1359.885549,0.843030,710971.000000,102052.000000
1363.244586,0.852433,708733.000000,99552.000000
1366.599408,0.862637,706319.000000,96909.000000
1371.065950,0.881715,701665.000000,92133.000000
1374.410939,0.897637,697460.000000,88284.000000
1377.751713,0.917844,691985.000000,83609.000000
1381.088274,0.938737,686523.000000,79053.000000
1384.420619,0.959112,680381.000000,74755.000000
1387.748751,0.979210,675468.000000,70859.000000
1391.072668,0.996762,671911.000000,67694.000000
1394.392370,1.008740,668723.000000,65540.000000
1397.707858,1.021055,666533.000000,63499.000000
1402.121953,1.031977,665113.000000,61790.000000
1405.427607,1.039097,665198.000000,60793.000000
1408.729047,1.045294,664935.000000,59908.000000
1412.026273,1.049308,664455.000000,59314.000000
1415.319284,1.052556,664556.000000,58881.000000
1418.608081,1.056377,664917.000000,58397.000000
1421.892663,1.057179,665017.000000,58298.000000
1425.173031,1.057529,664617.000000,58216.000000
1428.449184,1.059396,665359.000000,58031.000000
1431.721123,1.061477,666424.000000,57846.000000
1436.077153,1.060941,667155.000000,57981.000000
1439.339258,1.061955,668127.000000,57930.000000
1442.597149,1.063573,668698.000000,57764.000000
1445.850825,1.064279,669264.000000,57719.000000
1449.100287,1.064405,669273.000000,57703.000000
1452.345535,1.064230,669026.000000,57705.000000
1455.586568,1.066725,668707.000000,57347.000000
1458.823387,1.067235,668068.000000,57225.000000
1462.055991,1.064660,666684.000000,57446.000000
1466.359575,1.065303,665382.000000,57249.000000
1469.582345,1.063986,664120.000000,57314.000000
1472.800901,1.062718,662276.000000,57322.000000
1476.015243,1.060817,660385.000000,57409.000000
1479.225371,1.060943,658310.000000,57212.000000
1482.431284,1.059381,656313.000000,57244.000000
1485.632982,1.056811,654173.000000,57396.000000
1488.830466,1.055181,651677.000000,57392.000000
1492.023736,1.053705,649126.000000,57362.000000
1496.274873,1.050761,646247.000000,57496.000000
1499.458309,1.048477,643294.000000,57535.000000
1502.637531,1.046871,640417.000000,57490.000000
1505.812538,1.043765,637303.000000,57621.000000
1508.983330,1.041800,634074.000000,57589.000000
1512.149909,1.039781,630551.000000,57536.000000
1515.312273,1.036350,626579.000000,57627.000000
1518.470422,1.034773,623236.000000,57528.000000
1521.624357,1.033222,619556.000000,57393.000000
