Method:,Hadamard 1,,
Host Date-Time:,24/8/18 @ 13:22:56,,
Header Version:,1,,
System Temp (C):,35.68,,
Detector Temp (C):,31.63,,
Humidity (%):,9.24,,
Lamp PD:,3774,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.494,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.277914,33639.000000,17739.000000
905.521072,0.297307,38213.000000,19271.000000
909.408318,0.300394,42332.000000,21197.000000
913.291349,0.310739,46950.000000,22956.000000
917.170165,0.309969,51785.000000,25365.000000
921.044767,0.312973,58287.000000,28353.000000
924.915155,0.312548,66979.000000,32613.000000
930.069116,0.326307,82100.000000,38729.000000
933.929670,0.341718,94317.000000,42941.000000
937.786010,0.357167,106099.000000,46617.000000
941.638135,0.371017,116718.000000,49673.000000
945.486046,0.384768,125961.000000,51936.000000
949.329742,0.399084,134812.000000,53783.000000
953.169224,0.412110,143641.000000,55612.000000
957.004491,0.420782,152380.000000,57829.000000
960.835544,0.428275,161986.000000,60423.000000
965.937059,0.436365,175129.000000,64120.000000
969.758279,0.442363,185335.000000,66926.000000
973.575284,0.444464,195809.000000,70367.000000
977.388074,0.448960,206740.000000,73530.000000
981.196650,0.451115,217308.000000,76906.000000
985.001012,0.454571,228047.000000,80067.000000
988.801159,0.455522,238038.000000,83392.000000
992.597092,0.456034,247444.000000,86585.000000
996.388810,0.457106,256381.000000,89491.000000
1000.176314,0.457079,264317.000000,92267.000000
1005.219764,0.456270,273187.000000,95541.000000
1008.997434,0.456339,278661.000000,97440.000000
1012.770890,0.455098,283378.000000,99373.000000
1016.540131,0.453660,286796.000000,100905.000000
1020.305158,0.453291,289545.000000,101959.000000
1024.065971,0.452412,290768.000000,102597.000000
1027.822569,0.451693,291659.000000,103082.000000
1031.574953,0.450191,291738.000000,103467.000000
1035.323122,0.449297,291180.000000,103482.000000
1040.314125,0.447494,289060.000000,103156.000000
1044.052461,0.447300,287270.000000,102563.000000
1047.786582,0.446628,285260.000000,102003.000000
1051.516489,0.444511,282938.000000,101667.000000
1055.242181,0.443354,280933.000000,101216.000000
1058.963659,0.442344,278805.000000,100683.000000
1062.680922,0.441126,276533.000000,100143.000000
1066.393971,0.440120,275025.000000,99828.000000
1070.102806,0.439222,273940.000000,99640.000000
1075.041363,0.438689,272610.000000,99278.000000
1078.740364,0.438502,271864.000000,99049.000000
1082.435151,0.438829,271322.000000,98777.000000
1086.125723,0.439233,271668.000000,98811.000000
1089.812080,0.439655,272144.000000,98888.000000
1093.494224,0.440856,273135.000000,98974.000000
1097.172153,0.441483,273441.000000,98942.000000
1100.845867,0.442913,274759.000000,99092.000000
1104.515367,0.444841,276154.000000,99154.000000
1109.401478,0.447285,278191.000000,99325.000000
1113.061144,0.449555,279666.000000,99331.000000
1116.716596,0.452900,281465.000000,99203.000000
1120.367833,0.457171,283330.000000,98883.000000
1124.014856,0.463630,285720.000000,98245.000000
1127.657665,0.472058,287805.000000,97060.000000
1131.296259,0.481826,290051.000000,95642.000000
1134.930639,0.493621,292331.000000,93811.000000
1138.560804,0.506838,294917.000000,91804.000000
1143.394469,0.523466,298293.000000,89367.000000
1147.014801,0.534319,300985.000000,87948.000000
1150.630918,0.543711,304257.000000,87002.000000
1154.242821,0.551681,307712.000000,86390.000000
1157.850509,0.557808,310881.000000,86057.000000
1161.453983,0.563005,314276.000000,85962.000000
1165.053242,0.567508,318257.000000,86153.000000
1168.648287,0.569540,322819.000000,86980.000000
1172.239118,0.573145,326850.000000,87338.000000
1177.020337,0.578742,332795.000000,87788.000000
1180.601334,0.582916,338252.000000,88374.000000
1184.178116,0.587197,344529.000000,89131.000000
1187.750684,0.593406,351023.000000,89522.000000
1191.319038,0.600232,357082.000000,89647.000000
1194.883177,0.607153,364643.000000,90098.000000
1198.443102,0.615053,372656.000000,90418.000000
1201.998812,0.622056,379916.000000,90705.000000
1205.550308,0.627633,387104.000000,91242.000000
1210.279081,0.632660,398358.000000,92814.000000
1213.820743,0.631842,406330.000000,94850.000000
1217.358191,0.626976,414296.000000,97799.000000
1220.891424,0.620594,423100.000000,101356.000000
1224.420443,0.614630,431276.000000,104743.000000
1227.945248,0.610447,440314.000000,107973.000000
1231.465838,0.607083,449218.000000,111013.000000
1234.982214,0.603732,457807.000000,114012.000000
1238.494375,0.603360,468067.000000,116667.000000
1243.170701,0.601811,479193.000000,119867.000000
1246.673029,0.600911,486758.000000,122012.000000
1250.171142,0.601030,495180.000000,124089.000000
1253.665041,0.600630,503918.000000,126395.000000
1257.154726,0.598909,511654.000000,128845.000000
1260.640196,0.597614,521154.000000,131629.000000
1264.121451,0.595871,534098.000000,135441.000000
1267.598492,0.597009,549524.000000,138988.000000
1271.071319,0.598817,564969.000000,142301.000000
1275.695199,0.601888,583497.000000,145932.000000
1279.158192,0.604028,596509.000000,148453.000000
1282.616970,0.607444,610137.000000,150655.000000
1286.071534,0.610413,621777.000000,152483.000000
1289.521884,0.614434,632911.000000,153783.000000
1292.968020,0.619636,643299.000000,154446.000000
1296.409940,0.626311,653998.000000,154620.000000
1299.847647,0.632283,662535.000000,154499.000000
1303.281139,0.638799,669534.000000,153806.000000
1307.852572,0.648632,680622.000000,152853.000000
