Method:,Hadamard 1,,
Host Date-Time:,23/8/18 @ 17:40:25,,
Header Version:,1,,
System Temp (C):,36.43,,
Detector Temp (C):,32.62,,
Humidity (%):,8.36,,
Lamp PD:,3772,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.659022,33639.000000,7376.000000
905.521072,0.684529,38213.000000,7901.000000
909.408318,0.692069,42332.000000,8602.000000
913.291349,0.710262,46950.000000,9149.000000
917.170165,0.719139,51785.000000,9887.000000
921.044767,0.735944,58287.000000,10706.000000
924.915155,0.743836,66979.000000,12081.000000
930.069116,0.771891,82100.000000,13882.000000
933.929670,0.794895,94317.000000,15125.000000
937.786010,0.821754,106099.000000,15994.000000
941.638135,0.847056,116718.000000,16599.000000
945.486046,0.874953,125961.000000,16799.000000
949.329742,0.905558,134812.000000,16756.000000
953.169224,0.934198,143641.000000,16714.000000
957.004491,0.955761,152380.000000,16872.000000
960.835544,0.973293,161986.000000,17226.000000
965.937059,0.994282,175129.000000,17745.000000
969.758279,1.006290,185335.000000,18267.000000
973.575284,1.011323,195809.000000,19077.000000
977.388074,1.020980,206740.000000,19699.000000
981.196650,1.021546,217308.000000,20679.000000
985.001012,1.026698,228047.000000,21445.000000
988.801159,1.026030,238038.000000,22419.000000
992.597092,1.022890,247444.000000,23474.000000
996.388810,1.018799,256381.000000,24552.000000
1000.176314,1.015534,264317.000000,25503.000000
1005.219764,1.004646,273187.000000,27028.000000
1008.997434,0.998570,278661.000000,27958.000000
1012.770890,0.990838,283378.000000,28942.000000
1016.540131,0.982818,286796.000000,29837.000000
1020.305158,0.975555,289545.000000,30631.000000
1024.065971,0.969044,290768.000000,31225.000000
1027.822569,0.962667,291659.000000,31784.000000
1031.574953,0.955428,291738.000000,32327.000000
1035.323122,0.948818,291180.000000,32760.000000
1040.314125,0.939837,289060.000000,33201.000000
1044.052461,0.935455,287270.000000,33330.000000
1047.786582,0.927508,285260.000000,33708.000000
1051.516489,0.918962,282938.000000,34098.000000
1055.242181,0.911023,280933.000000,34481.000000
1058.963659,0.904583,278805.000000,34731.000000
1062.680922,0.897766,276533.000000,34993.000000
1066.393971,0.890369,275025.000000,35400.000000
1070.102806,0.884513,273940.000000,35739.000000
1075.041363,0.878468,272610.000000,36064.000000
1078.740364,0.872106,271864.000000,36496.000000
1082.435151,0.867059,271322.000000,36849.000000
1086.125723,0.862889,271668.000000,37252.000000
1089.812080,0.859958,272144.000000,37570.000000
1093.494224,0.856559,273135.000000,38003.000000
1097.172153,0.853200,273441.000000,38341.000000
1100.845867,0.851578,274759.000000,38670.000000
1104.515367,0.852331,276154.000000,38799.000000
1109.401478,0.852144,278191.000000,39102.000000
1113.061144,0.853010,279666.000000,39231.000000
1116.716596,0.855895,281465.000000,39222.000000
1120.367833,0.863942,283330.000000,38757.000000
1124.014856,0.871564,285720.000000,38404.000000
1127.657665,0.882596,287805.000000,37714.000000
1131.296259,0.895001,290051.000000,36938.000000
1134.930639,0.906579,292331.000000,36249.000000
1138.560804,0.920084,294917.000000,35450.000000
1143.394469,0.935040,298293.000000,34642.000000
1147.014801,0.942138,300985.000000,34388.000000
1150.630918,0.948010,304257.000000,34295.000000
1154.242821,0.954207,307712.000000,34193.000000
1157.850509,0.959853,310881.000000,34099.000000
1161.453983,0.964608,314276.000000,34096.000000
1165.053242,0.965551,318257.000000,34453.000000
1168.648287,0.968204,322819.000000,34734.000000
1172.239118,0.970057,326850.000000,35018.000000
1177.020337,0.973738,332795.000000,35354.000000
1180.601334,0.973227,338252.000000,35976.000000
1184.178116,0.975088,344529.000000,36487.000000
1187.750684,0.978733,351023.000000,36864.000000
1191.319038,0.984848,357082.000000,36976.000000
1194.883177,0.989833,364643.000000,37328.000000
1198.443102,0.995024,372656.000000,37695.000000
1201.998812,1.000110,379916.000000,37982.000000
1205.550308,1.004992,387104.000000,38268.000000
1210.279081,1.010961,398358.000000,38843.000000
1213.820743,1.012381,406330.000000,39491.000000
1217.358191,1.013917,414296.000000,40123.000000
1220.891424,1.013278,423100.000000,41036.000000
1224.420443,1.012230,431276.000000,41930.000000
1227.945248,1.012572,440314.000000,42775.000000
1231.465838,1.013479,449218.000000,43549.000000
1234.982214,1.012479,457807.000000,44484.000000
1238.494375,1.014574,468067.000000,45262.000000
1243.170701,1.014545,479193.000000,46341.000000
1246.673029,1.016650,486758.000000,46845.000000
1250.171142,1.017421,495180.000000,47571.000000
1253.665041,1.016690,503918.000000,48492.000000
1257.154726,1.014538,511654.000000,49481.000000
1260.640196,1.012421,521154.000000,50646.000000
1264.121451,1.009152,534098.000000,52296.000000
1267.598492,1.012519,549524.000000,53391.000000
1271.071319,1.012808,564969.000000,54855.000000
1275.695199,1.015276,583497.000000,56333.000000
1279.158192,1.016266,596509.000000,57458.000000
1282.616970,1.018836,610137.000000,58424.000000
1286.071534,1.021812,621777.000000,59132.000000
1289.521884,1.024025,632911.000000,59885.000000
1292.968020,1.029004,643299.000000,60174.000000
1296.409940,1.033850,653998.000000,60496.000000
1299.847647,1.039231,662535.000000,60531.000000
1303.281139,1.043185,669534.000000,60616.000000
1307.852572,1.050828,680622.000000,60545.000000
1311.276231,1.056825,687613.000000,60328.000000
1314.695675,1.059807,692993.000000,60384.000000
1318.110904,1.064948,697587.000000,60069.000000
1321.521919,1.070424,703545.000000,59823.000000
1324.928720,1.075405,707997.000000,59515.000000
1328.331306,1.078881,710077.000000,59214.000000
1331.729678,1.082973,712333.000000,58845.000000
1335.123835,1.085685,715576.000000,58745.000000
1339.642823,1.089651,717691.000000,58383.000000
1343.027147,1.092122,716977.000000,57994.000000
1346.407256,1.093530,716577.000000,57774.000000
1349.783151,1.093796,716270.000000,57714.000000
1353.154831,1.092863,715315.000000,57761.000000
1356.522297,1.093740,713176.000000,57472.000000
1359.885549,1.094175,710971.000000,57237.000000
