Method:,Hadamard 1,,
Host Date-Time:,26/8/18 @ 18:17:1,,
Header Version:,1,,
System Temp (C):,35.19,,
Detector Temp (C):,31.39,,
Humidity (%):,10.41,,
Lamp PD:,3773,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.496,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.681559,33639.000000,7003.000000
905.521072,0.695382,38213.000000,7706.000000
909.408318,0.719526,42332.000000,8075.000000
913.291349,0.732017,46950.000000,8702.000000
917.170165,0.741446,51785.000000,9392.000000
921.044767,0.754340,58287.000000,10262.000000
924.915155,0.760658,66979.000000,11622.000000
930.069116,0.790296,82100.000000,13306.000000
933.929670,0.811399,94317.000000,14561.000000
937.786010,0.838868,106099.000000,15376.000000
941.638135,0.863289,116718.000000,15990.000000
945.486046,0.888555,125961.000000,16281.000000
949.329742,0.921717,134812.000000,16144.000000
953.169224,0.945011,143641.000000,16303.000000
957.004491,0.971167,152380.000000,16284.000000
960.835544,0.990417,161986.000000,16560.000000
965.937059,1.007577,175129.000000,17210.000000
969.758279,1.020107,185335.000000,17695.000000
973.575284,1.025860,195809.000000,18449.000000
977.388074,1.036465,206740.000000,19009.000000
981.196650,1.035525,217308.000000,20024.000000
985.001012,1.039878,228047.000000,20804.000000
988.801159,1.038708,238038.000000,21774.000000
992.597092,1.035618,247444.000000,22796.000000
996.388810,1.032528,256381.000000,23788.000000
1000.176314,1.028883,264317.000000,24731.000000
1005.219764,1.020919,273187.000000,26034.000000
1008.997434,1.013327,278661.000000,27024.000000
1012.770890,1.005767,283378.000000,27964.000000
1016.540131,0.995595,286796.000000,28972.000000
1020.305158,0.988740,289545.000000,29715.000000
1024.065971,0.982649,290768.000000,30262.000000
1027.822569,0.976522,291659.000000,30786.000000
1031.574953,0.968022,291738.000000,31403.000000
1035.323122,0.962267,291180.000000,31761.000000
1040.314125,0.954970,289060.000000,32064.000000
1044.052461,0.947879,287270.000000,32390.000000
1047.786582,0.940441,285260.000000,32719.000000
1051.516489,0.932362,282938.000000,33062.000000
1055.242181,0.925689,280933.000000,33336.000000
1058.963659,0.917903,278805.000000,33682.000000
1062.680922,0.911842,276533.000000,33877.000000
1066.393971,0.904876,275025.000000,34237.000000
1070.102806,0.898805,273940.000000,34582.000000
1075.041363,0.892356,272610.000000,34929.000000
1078.740364,0.886294,271864.000000,35323.000000
1082.435151,0.880926,271322.000000,35691.000000
1086.125723,0.876880,271668.000000,36071.000000
1089.812080,0.872982,272144.000000,36460.000000
1093.494224,0.871664,273135.000000,36704.000000
1097.172153,0.868146,273441.000000,37044.000000
1100.845867,0.865268,274759.000000,37470.000000
1104.515367,0.866310,276154.000000,37570.000000
1109.401478,0.866392,278191.000000,37840.000000
1113.061144,0.867371,279666.000000,37955.000000
1116.716596,0.871404,281465.000000,37846.000000
1120.367833,0.875871,283330.000000,37707.000000
1124.014856,0.887340,285720.000000,37034.000000
1127.657665,0.898606,287805.000000,36349.000000
1131.296259,0.910196,290051.000000,35668.000000
1134.930639,0.923000,292331.000000,34904.000000
1138.560804,0.937175,294917.000000,34082.000000
1143.394469,0.951847,298293.000000,33327.000000
1147.014801,0.959597,300985.000000,33033.000000
1150.630918,0.968799,304257.000000,32692.000000
1154.242821,0.973517,307712.000000,32706.000000
1157.850509,0.980364,310881.000000,32526.000000
1161.453983,0.985214,314276.000000,32516.000000
1165.053242,0.987421,318257.000000,32761.000000
1168.648287,0.990735,322819.000000,32978.000000
1172.239118,0.990914,326850.000000,33376.000000
1177.020337,0.995540,332795.000000,33623.000000
1180.601334,0.995189,338252.000000,34202.000000
1184.178116,0.998476,344529.000000,34574.000000
1187.750684,1.001628,351023.000000,34971.000000
1191.319038,1.006756,357082.000000,35157.000000
1194.883177,1.011872,364643.000000,35481.000000
1198.443102,1.017680,372656.000000,35779.000000
1201.998812,1.021735,379916.000000,36137.000000
1205.550308,1.026702,387104.000000,36402.000000
1210.279081,1.032354,398358.000000,36976.000000
1213.820743,1.034778,406330.000000,37506.000000
1217.358191,1.034702,414296.000000,38248.000000
1220.891424,1.033002,423100.000000,39214.000000
1224.420443,1.032880,431276.000000,39983.000000
1227.945248,1.033614,440314.000000,40752.000000
1231.465838,1.032634,449218.000000,41670.000000
1234.982214,1.031671,457807.000000,42561.000000
1238.494375,1.033660,468067.000000,43316.000000
1243.170701,1.034902,479193.000000,44219.000000
1246.673029,1.035386,486758.000000,44867.000000
1250.171142,1.035998,495180.000000,45579.000000
1253.665041,1.036263,503918.000000,46355.000000
1257.154726,1.033702,511654.000000,47345.000000
1260.640196,1.030902,521154.000000,48536.000000
1264.121451,1.029486,534098.000000,49904.000000
1267.598492,1.030505,549524.000000,51225.000000
1271.071319,1.032478,564969.000000,52426.000000
1275.695199,1.034450,583497.000000,53900.000000
1279.158192,1.035689,596509.000000,54945.000000
1282.616970,1.037526,610137.000000,55963.000000
1286.071534,1.041048,621777.000000,56570.000000
1289.521884,1.043726,632911.000000,57229.000000
1292.968020,1.048262,643299.000000,57564.000000
1296.409940,1.052838,653998.000000,57908.000000
1299.847647,1.058515,662535.000000,57902.000000
1303.281139,1.064063,669534.000000,57771.000000
1307.852572,1.070640,680622.000000,57845.000000
1311.276231,1.075852,687613.000000,57742.000000
1314.695675,1.081031,692993.000000,57504.000000
1318.110904,1.085444,697587.000000,57300.000000
1321.521919,1.091836,703545.000000,56945.000000
1324.928720,1.096648,707997.000000,56674.000000
1328.331306,1.100959,710077.000000,56279.000000
1331.729678,1.105007,712333.000000,55934.000000
1335.123835,1.108793,715576.000000,55701.000000
1339.642823,1.112843,717691.000000,55347.000000
1343.027147,1.114693,716977.000000,55057.000000
1346.407256,1.116657,716577.000000,54778.000000
1349.783151,1.116265,716270.000000,54804.000000
1353.154831,1.116716,715315.000000,54674.000000
1356.522297,1.117989,713176.000000,54351.000000
1359.885549,1.118478,710971.000000,54122.000000
1363.244586,1.118926,708733.000000,53896.000000
1366.599408,1.118889,706319.000000,53717.000000
1371.065950,1.120994,701665.000000,53105.000000
1374.410939,1.122253,697460.000000,52634.000000
1377.751713,1.121678,691985.000000,52290.000000
1381.088274,1.122174,686523.000000,51818.000000
1384.420619,1.121190,680381.000000,51471.000000
1387.748751,1.120666,675468.000000,51161.000000
1391.072668,1.121251,671911.000000,50823.000000
1394.392370,1.119767,668723.000000,50755.000000
1397.707858,1.119937,666533.000000,50569.000000
1402.121953,1.118865,665113.000000,50586.000000
1405.427607,1.117763,665198.000000,50721.000000
1408.729047,1.117943,664935.000000,50680.000000
1412.026273,1.118710,664455.000000,50554.000000
1415.319284,1.119051,664556.000000,50522.000000
1418.608081,1.118711,664917.000000,50589.000000
1421.892663,1.119129,665017.000000,50548.000000
1425.173031,1.117409,664617.000000,50718.000000
1428.449184,1.117372,665359.000000,50779.000000
1431.721123,1.119180,666424.000000,50649.000000
1436.077153,1.118004,667155.000000,50842.000000
1439.339258,1.118790,668127.000000,50824.000000
1442.597149,1.118666,668698.000000,50882.000000
1445.850825,1.119913,669264.000000,50779.000000
1449.100287,1.119637,669273.000000,50812.000000
1452.345535,1.120744,669026.000000,50664.000000
1455.586568,1.121944,668707.000000,50500.000000
1458.823387,1.122735,668068.000000,50360.000000
1462.055991,1.121757,666684.000000,50369.000000
1466.359575,1.123780,665382.000000,50037.000000
1469.582345,1.122921,664120.000000,50041.000000
1472.800901,1.123618,662276.000000,49822.000000
1476.015243,1.123056,660385.000000,49744.000000
1479.225371,1.124220,658310.000000,49455.000000
1482.431284,1.124608,656313.000000,49261.000000
1485.632982,1.124266,654173.000000,49139.000000
1488.830466,1.125853,651677.000000,48773.000000
1492.023736,1.124675,649126.000000,48714.000000
1496.274873,1.124827,646247.000000,48481.000000
1499.458309,1.124867,643294.000000,48255.000000
1502.637531,1.124607,640417.000000,48068.000000
1505.812538,1.125791,637303.000000,47704.000000
1508.983330,1.125218,634074.000000,47525.000000
1512.149909,1.125732,630551.000000,47205.000000
1515.312273,1.125488,626579.000000,46934.000000
1518.470422,1.126789,623236.000000,46544.000000
1521.624357,1.125694,619556.000000,46386.000000
1525.823048,1.125674,614520.000000,46011.000000
1528.967149,1.124795,610731.000000,45820.000000
1532.107036,1.126024,606260.000000,45356.000000
1535.242709,1.126151,601771.000000,45007.000000
1538.374167,1.125424,597293.000000,44747.000000
1541.501410,1.125701,592533.000000,44362.000000
1544.624439,1.124722,587614.000000,44093.000000
1547.743254,1.123693,582008.000000,43776.000000
1550.857855,1.124912,576631.000000,43250.000000
1555.004099,1.124242,569180.000000,42757.000000
1558.108866,1.124376,563682.000000,42331.000000
1561.209418,1.123651,557265.000000,41919.000000
1564.305756,1.122665,551187.000000,41556.000000
1567.397879,1.122186,545545.000000,41176.000000
1570.485788,1.121728,539133.000000,40735.000000
1573.569483,1.121218,532551.000000,40285.000000
1576.648963,1.123082,525907.000000,39612.000000
1579.724229,1.120977,518938.000000,39277.000000
1583.818027,1.121586,509333.000000,38496.000000
1586.883459,1.120951,502458.000000,38032.000000
1589.944677,1.121761,494992.000000,37397.000000
1593.001680,1.119393,487232.000000,37012.000000
1596.054469,1.119896,480020.000000,36422.000000
1599.103043,1.119389,472168.000000,35868.000000
1602.147403,1.122873,464280.000000,34987.000000
1605.187548,1.121969,456706.000000,34488.000000
1608.223479,1.122284,448530.000000,33846.000000
1612.264832,1.123120,437205.000000,32928.000000
1615.290929,1.122220,429490.000000,32414.000000
1618.312812,1.126257,421504.000000,31517.000000
1621.330481,1.126764,413173.000000,30858.000000
1624.343935,1.126796,404553.000000,30212.000000
1627.353174,1.129044,396423.000000,29452.000000
1630.358200,1.133982,388513.000000,28538.000000
1633.359010,1.136656,380160.000000,27753.000000
1636.355607,1.138870,371598.000000,26990.000000
1640.344513,1.144249,360463.000000,25859.000000
1643.331275,1.146142,352069.000000,25147.000000
